education_id,degree_name,field,level,specialization
ED_00066,AWS Certified Developer,Cloud,Certification,AWS
ED_00067,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00068,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00069,Bachelor of Science in Software Engineering,Software Engineering,Bachelor,General
ED_00070,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00071,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00072,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00073,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00074,Certified Ethical Hacker,Security,Certification,Security
ED_00075,Bachelor of Science in Data Science,Data Science,Bachelor,General
ED_00076,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00077,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00078,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00079,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00080,PhD in Computer Science,Computer Science,PhD,General
ED_00081,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00082,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00083,Bachelor of Science in Software Engineering,Software Engineering,Bachelor,General
ED_00084,Bachelor of Science in Data Science,Data Science,Bachelor,General
ED_00085,CompTIA Security+,Security,Certification,Security
ED_00086,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00087,AWS Certified Developer,Cloud,Certification,AWS
ED_00088,PhD in Computer Science,Computer Science,PhD,General
ED_00089,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00090,Certified Ethical Hacker,Security,Certification,Security
ED_00091,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00092,Master of Science in Artificial Intelligence,Computer Science,Master,AI
ED_00093,Bachelor of Science in Software Engineering,Software Engineering,Bachelor,General
ED_00094,Bachelor of Science in Data Science,Data Science,Bachelor,General
ED_00095,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00096,Master of Business Administration,Business,Master,General
ED_00097,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00098,AWS Certified Developer,Cloud,Certification,AWS
ED_00099,PhD in Computer Science,Computer Science,PhD,General
ED_00100,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00101,Master of Science in Data Science,Data Science,Master,General
ED_00102,Master of Science in Artificial Intelligence,Computer Science,Master,AI
ED_00103,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00104,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00105,Bachelor of Science in Software Engineering,Software Engineering,Bachelor,General
ED_00106,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00107,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00108,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00109,CompTIA Security+,Security,Certification,Security
ED_00110,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00111,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00112,Bachelor of Science in Software Engineering,Software Engineering,Bachelor,General
ED_00113,Master of Science in Artificial Intelligence,Computer Science,Master,AI
ED_00114,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00115,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00116,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00117,Master of Science in Data Science,Data Science,Master,General
ED_00118,AWS Certified Developer,Cloud,Certification,AWS
ED_00119,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00120,CompTIA Security+,Security,Certification,Security
ED_00121,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00122,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00123,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00124,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00125,PhD in Computer Science,Computer Science,PhD,General
ED_00126,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00127,PhD in Computer Science,Computer Science,PhD,General
ED_00128,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00129,Certified Ethical Hacker,Security,Certification,Security
ED_00130,CompTIA Security+,Security,Certification,Security
ED_00131,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00132,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00133,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00134,PhD in Computer Science,Computer Science,PhD,General
ED_00135,CompTIA Security+,Security,Certification,Security
ED_00136,PhD in Computer Science,Computer Science,PhD,General
ED_00137,CompTIA Security+,Security,Certification,Security
ED_00138,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00139,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00140,Master of Science in Data Science,Data Science,Master,General
ED_00141,Master of Science in Data Science,Data Science,Master,General
ED_00142,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00143,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00144,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00145,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00146,Master of Science in Data Science,Data Science,Master,General
ED_00147,Bachelor of Science in Data Science,Data Science,Bachelor,General
ED_00148,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00149,Certified Ethical Hacker,Security,Certification,Security
ED_00150,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00151,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00152,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00153,Certified Ethical Hacker,Security,Certification,Security
ED_00154,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00155,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00156,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00157,Master of Science in Data Science,Data Science,Master,General
ED_00158,PhD in Computer Science,Computer Science,PhD,General
ED_00159,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00160,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00161,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00162,Master of Science in Artificial Intelligence,Computer Science,Master,AI
ED_00163,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00164,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00165,Bachelor of Science in Data Science,Data Science,Bachelor,General
ED_00166,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00167,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00168,PhD in Computer Science,Computer Science,PhD,General
ED_00169,Master of Business Administration,Business,Master,General
ED_00170,Bachelor of Science in Data Science,Data Science,Bachelor,General
ED_00171,Certified Ethical Hacker,Security,Certification,Security
ED_00172,Master of Business Administration,Business,Master,General
ED_00173,Master of Science in Data Science,Data Science,Master,General
ED_00174,Certified Ethical Hacker,Security,Certification,Security
ED_00175,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00176,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00177,PhD in Computer Science,Computer Science,PhD,General
ED_00178,AWS Certified Developer,Cloud,Certification,AWS
ED_00179,Master of Science in Data Science,Data Science,Master,General
ED_00180,Master of Science in Data Science,Data Science,Master,General
ED_00181,Bachelor of Science in Software Engineering,Software Engineering,Bachelor,General
ED_00182,CompTIA Security+,Security,Certification,Security
ED_00183,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00184,PhD in Computer Science,Computer Science,PhD,General
ED_00185,Master of Business Administration,Business,Master,General
ED_00186,Master of Science in Artificial Intelligence,Computer Science,Master,AI
ED_00187,Master of Business Administration,Business,Master,General
ED_00188,AWS Certified Developer,Cloud,Certification,AWS
ED_00189,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00190,Master of Science in Artificial Intelligence,Computer Science,Master,AI
ED_00191,Master of Science in Artificial Intelligence,Computer Science,Master,AI
ED_00192,Master of Science in Data Science,Data Science,Master,General
ED_00193,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00194,Master of Business Administration,Business,Master,General
ED_00195,Master of Business Administration,Business,Master,General
ED_00196,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00197,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00198,Bachelor of Science in Data Science,Data Science,Bachelor,General
ED_00199,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00200,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00201,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00202,Certified Ethical Hacker,Security,Certification,Security
ED_00203,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00204,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00205,PhD in Computer Science,Computer Science,PhD,General
ED_00206,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00207,CompTIA Security+,Security,Certification,Security
ED_00208,Master of Science in Data Science,Data Science,Master,General
ED_00209,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00210,CompTIA Security+,Security,Certification,Security
ED_00211,Bachelor of Science in Data Science,Data Science,Bachelor,General
ED_00212,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00213,PhD in Computer Science,Computer Science,PhD,General
ED_00214,PhD in Computer Science,Computer Science,PhD,General
ED_00215,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00216,AWS Certified Developer,Cloud,Certification,AWS
ED_00217,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00218,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00219,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00220,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00221,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00222,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00223,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00224,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00225,Bachelor of Science in Data Science,Data Science,Bachelor,General
ED_00226,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00227,Bachelor of Science in Software Engineering,Software Engineering,Bachelor,General
ED_00228,Master of Science in Artificial Intelligence,Computer Science,Master,AI
ED_00229,AWS Certified Developer,Cloud,Certification,AWS
ED_00230,PhD in Computer Science,Computer Science,PhD,General
ED_00231,CompTIA Security+,Security,Certification,Security
ED_00232,AWS Certified Developer,Cloud,Certification,AWS
ED_00233,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00234,Master of Business Administration,Business,Master,General
ED_00235,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00236,Bachelor of Science in Data Science,Data Science,Bachelor,General
ED_00237,AWS Certified Developer,Cloud,Certification,AWS
ED_00238,Master of Science in Artificial Intelligence,Computer Science,Master,AI
ED_00239,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00240,CompTIA Security+,Security,Certification,Security
ED_00241,PhD in Computer Science,Computer Science,PhD,General
ED_00242,Bachelor of Science in Software Engineering,Software Engineering,Bachelor,General
ED_00243,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00244,Bachelor of Science in Data Science,Data Science,Bachelor,General
ED_00245,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00246,Certified Ethical Hacker,Security,Certification,Security
ED_00247,Master of Science in Data Science,Data Science,Master,General
ED_00248,PhD in Computer Science,Computer Science,PhD,General
ED_00249,Bachelor of Science in Data Science,Data Science,Bachelor,General
ED_00250,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00251,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00252,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00253,AWS Certified Developer,Cloud,Certification,AWS
ED_00254,Master of Business Administration,Business,Master,General
ED_00255,Master of Science in Artificial Intelligence,Computer Science,Master,AI
ED_00256,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00257,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00258,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00259,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00260,PhD in Computer Science,Computer Science,PhD,General
ED_00261,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00262,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00263,Bachelor of Science in Software Engineering,Software Engineering,Bachelor,General
ED_00264,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00265,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00266,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00267,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00268,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00269,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00270,Master of Science in Data Science,Data Science,Master,General
ED_00271,Certified Ethical Hacker,Security,Certification,Security
ED_00272,Bachelor of Science in Data Science,Data Science,Bachelor,General
ED_00273,Master of Science in Data Science,Data Science,Master,General
ED_00274,Certified Ethical Hacker,Security,Certification,Security
ED_00275,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00276,PhD in Computer Science,Computer Science,PhD,General
ED_00277,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00278,PhD in Computer Science,Computer Science,PhD,General
ED_00279,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00280,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00281,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00282,Master of Science in Artificial Intelligence,Computer Science,Master,AI
ED_00283,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00284,Certified Ethical Hacker,Security,Certification,Security
ED_00285,Master of Science in Data Science,Data Science,Master,General
ED_00286,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00287,Bachelor of Science in Software Engineering,Software Engineering,Bachelor,General
ED_00288,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00289,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00290,Certified Ethical Hacker,Security,Certification,Security
ED_00291,Certified Ethical Hacker,Security,Certification,Security
ED_00292,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00293,AWS Certified Developer,Cloud,Certification,AWS
ED_00294,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00295,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00296,Master of Science in Artificial Intelligence,Computer Science,Master,AI
ED_00297,Master of Science in Artificial Intelligence,Computer Science,Master,AI
ED_00298,Certified Ethical Hacker,Security,Certification,Security
ED_00299,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00300,CompTIA Security+,Security,Certification,Security
ED_00301,Master of Science in Data Science,Data Science,Master,General
ED_00302,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00303,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00304,Certified Ethical Hacker,Security,Certification,Security
ED_00305,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00306,Master of Science in Data Science,Data Science,Master,General
ED_00307,Master of Science in Artificial Intelligence,Computer Science,Master,AI
ED_00308,Master of Science in Data Science,Data Science,Master,General
ED_00309,Master of Science in Data Science,Data Science,Master,General
ED_00310,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00311,Certified Ethical Hacker,Security,Certification,Security
ED_00312,Master of Business Administration,Business,Master,General
ED_00313,Bachelor of Science in Data Science,Data Science,Bachelor,General
ED_00314,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00315,Bachelor of Science in Data Science,Data Science,Bachelor,General
ED_00316,Certified Ethical Hacker,Security,Certification,Security
ED_00317,Bachelor of Science in Software Engineering,Software Engineering,Bachelor,General
ED_00318,Bachelor of Science in Software Engineering,Software Engineering,Bachelor,General
ED_00319,AWS Certified Developer,Cloud,Certification,AWS
ED_00320,Master of Science in Data Science,Data Science,Master,General
ED_00321,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00322,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00323,CompTIA Security+,Security,Certification,Security
ED_00324,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00325,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00326,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00327,Certified Ethical Hacker,Security,Certification,Security
ED_00328,Master of Business Administration,Business,Master,General
ED_00329,PhD in Computer Science,Computer Science,PhD,General
ED_00330,CompTIA Security+,Security,Certification,Security
ED_00331,Master of Science in Data Science,Data Science,Master,General
ED_00332,Master of Business Administration,Business,Master,General
ED_00333,AWS Certified Developer,Cloud,Certification,AWS
ED_00334,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00335,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00336,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00337,Master of Business Administration,Business,Master,General
ED_00338,Bachelor of Science in Software Engineering,Software Engineering,Bachelor,General
ED_00339,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00340,AWS Certified Developer,Cloud,Certification,AWS
ED_00341,AWS Certified Developer,Cloud,Certification,AWS
ED_00342,Master of Science in Data Science,Data Science,Master,General
ED_00343,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00344,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00345,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00346,AWS Certified Developer,Cloud,Certification,AWS
ED_00347,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00348,Master of Business Administration,Business,Master,General
ED_00349,Master of Science in Data Science,Data Science,Master,General
ED_00350,CompTIA Security+,Security,Certification,Security
ED_00351,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00352,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00353,Master of Business Administration,Business,Master,General
ED_00354,PhD in Computer Science,Computer Science,PhD,General
ED_00355,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00356,Master of Science in Data Science,Data Science,Master,General
ED_00357,CompTIA Security+,Security,Certification,Security
ED_00358,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00359,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00360,Master of Science in Data Science,Data Science,Master,General
ED_00361,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00362,Master of Science in Data Science,Data Science,Master,General
ED_00363,Bachelor of Science in Software Engineering,Software Engineering,Bachelor,General
ED_00364,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00365,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00366,CompTIA Security+,Security,Certification,Security
ED_00367,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00368,PhD in Computer Science,Computer Science,PhD,General
ED_00369,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00370,Bachelor of Science in Data Science,Data Science,Bachelor,General
ED_00371,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00372,PhD in Computer Science,Computer Science,PhD,General
ED_00373,CompTIA Security+,Security,Certification,Security
ED_00374,Master of Science in Artificial Intelligence,Computer Science,Master,AI
ED_00375,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00376,Kubernetes Certified Application Developer,Cloud,Certification,Kubernetes
ED_00377,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00378,Certified Ethical Hacker,Security,Certification,Security
ED_00379,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00380,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00381,Master of Business Administration,Business,Master,General
ED_00382,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00383,Certified Ethical Hacker,Security,Certification,Security
ED_00384,PhD in Computer Science,Computer Science,PhD,General
ED_00385,PhD in Computer Science,Computer Science,PhD,General
ED_00386,AWS Certified Solutions Architect,Cloud,Certification,AWS
ED_00387,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00388,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00389,Master of Science in Artificial Intelligence,Computer Science,Master,AI
ED_00390,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00391,AWS Certified Developer,Cloud,Certification,AWS
ED_00392,Bachelor of Science in Software Engineering,Software Engineering,Bachelor,General
ED_00393,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00394,Master of Science in Artificial Intelligence,Computer Science,Master,AI
ED_00395,Master of Science in Artificial Intelligence,Computer Science,Master,AI
ED_00396,Bachelor of Science in Software Engineering,Software Engineering,Bachelor,General
ED_00397,PhD in Computer Science,Computer Science,PhD,General
ED_00398,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00399,Master of Science in Data Science,Data Science,Master,General
ED_00400,Certified Ethical Hacker,Security,Certification,Security
ED_00401,Master of Business Administration,Business,Master,General
ED_00402,Master of Business Administration,Business,Master,General
ED_00403,Bachelor of Science in Software Engineering,Software Engineering,Bachelor,General
ED_00404,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00405,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00406,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00407,PhD in Computer Science,Computer Science,PhD,General
ED_00408,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00409,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00410,AWS Certified Developer,Cloud,Certification,AWS
ED_00411,CompTIA Security+,Security,Certification,Security
ED_00412,Certified Ethical Hacker,Security,Certification,Security
ED_00413,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00414,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00415,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00416,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00417,Certified Ethical Hacker,Security,Certification,Security
ED_00418,CompTIA Security+,Security,Certification,Security
ED_00419,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00420,CompTIA Security+,Security,Certification,Security
ED_00421,AWS Certified Developer,Cloud,Certification,AWS
ED_00422,Microsoft Azure Solutions Architect,Cloud,Certification,Azure
ED_00423,Master of Business Administration,Business,Master,General
ED_00424,Master of Science in Artificial Intelligence,Computer Science,Master,AI
ED_00425,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00426,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00427,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00428,Master of Science in Data Science,Data Science,Master,General
ED_00429,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00430,Bachelor of Science in Software Engineering,Software Engineering,Bachelor,General
ED_00431,PhD in Machine Learning,Computer Science,PhD,Machine Learning
ED_00432,PhD in Computer Science,Computer Science,PhD,General
ED_00433,Google Cloud Professional Cloud Architect,Cloud,Certification,GCP
ED_00434,Bachelor of Science in Computer Science,Computer Science,Bachelor,General
ED_00435,Master of Science in Machine Learning,Computer Science,Master,Machine Learning
ED_00436,PhD in Computer Science,Computer Science,PhD,General
ED_00437,CompTIA Security+,Security,Certification,Security
ED_00438,PhD in Computer Science,Computer Science,PhD,General
