skill_id,skill_name,category,subcategory,difficulty,related_skills,demand_score,skill_text,skill_tokens_lemmas
SK_00082,message queues,web backend,general,advanced,,7.61,message queues web backend general advanced,message queue web backend general advance
SK_00083,gdpr,security,general,advanced,,6.3,gdpr security general advanced,gdpr security general advance
SK_00084,html/css,web frontend,general,advanced,,8.56,html/css web frontend general advanced,html css web frontend general advance
SK_00085,java,web backend,general,advanced,,6.74,java web backend general advanced,java web backend general advance
SK_00086,gpt,ai/ml,general,advanced,,6.57,gpt ai/ml general advanced,gpt ai ml general advance
SK_00087,cloud architecture,cloud & infrastructure,general,advanced,,7.83,cloud architecture cloud & infrastructure general advanced,cloud architecture cloud infrastructure general advance
SK_00088,critical thinking,soft skills,general,advanced,,6.34,critical thinking soft skills general advanced,critical thinking soft skill general advanced
SK_00089,keras,ai/ml,general,advanced,,7.38,keras ai/ml general advanced,keras ai ml general advance
SK_00090,tableau,data,general,advanced,,6.42,tableau data general advanced,tableau datum general advance
SK_00091,vue.js,web frontend,general,advanced,,6.52,vue.js web frontend general advanced,vue.js web frontend general advance
SK_00092,jest,web frontend,general,advanced,,6.53,jest web frontend general advanced,jest web frontend general advance
SK_00093,penetration testing,security,general,advanced,,6.19,penetration testing security general advanced,penetration test security general advance
SK_00094,restful apis,web backend,general,advanced,,6.06,restful apis web backend general advanced,restful apis web backend general advance
SK_00095,data visualization,data,general,advanced,,6.08,data visualization data general advanced,datum visualization datum general advance
SK_00096,big data,data,general,advanced,,6.61,big data data general advanced,big data datum general advance
SK_00097,redis,web backend,general,advanced,,6.7,redis web backend general advanced,redis web backend general advance
SK_00098,scikit-learn,ai/ml,general,advanced,,7.3,scikit-learn ai/ml general advanced,scikit learn ai ml general advance
SK_00099,application security,security,general,advanced,,7.15,application security security general advanced,application security security general advance
SK_00100,monitoring tools,cloud & infrastructure,general,advanced,,6.9,monitoring tools cloud & infrastructure general advanced,monitoring tool cloud infrastructure general advance
SK_00101,bash,devops,general,advanced,,7.39,bash devops general advanced,bash devops general advance
SK_00102,github actions,cloud & infrastructure,general,beginner,,7.91,github actions cloud & infrastructure general beginner,github actions cloud infrastructure general beginner
SK_00103,redux,web frontend,general,advanced,,6.86,redux web frontend general advanced,redux web frontend general advance
SK_00104,aws,cloud & infrastructure,general,advanced,,9.2,aws cloud & infrastructure general advanced,aws cloud infrastructure general advance
SK_00105,vulnerability assessment,security,general,advanced,,7.68,vulnerability assessment security general advanced,vulnerability assessment security general advance
SK_00106,etl,data,general,advanced,,7.73,etl data general advanced,etl datum general advance
SK_00107,threat modeling,security,general,advanced,,7.74,threat modeling security general advanced,threat modeling security general advance
SK_00108,sql,data,general,intermediate,,6.87,sql data general intermediate,sql datum general intermediate
SK_00109,graphql,web backend,general,advanced,,6.37,graphql web backend general advanced,graphql web backend general advance
SK_00110,infrastructure automation,devops,general,advanced,,7.44,infrastructure automation devops general advanced,infrastructure automation devop general advance
SK_00111,cloud security,security,general,advanced,,7.47,cloud security security general advanced,cloud security security general advance
SK_00112,negotiation,web backend,general,advanced,,7.32,negotiation web backend general advanced,negotiation web backend general advance
SK_00113,mongodb,web backend,general,advanced,,7.72,mongodb web backend general advanced,mongodb web backend general advance
SK_00114,python,ai/ml,general,intermediate,,9.68,python ai/ml general intermediate,python ai ml general intermediate
SK_00115,apache spark,data,general,advanced,,6.25,apache spark data general advanced,apache spark data general advance
SK_00116,typescript,web frontend,general,advanced,,6.58,typescript web frontend general advanced,typescript web frontend general advance
SK_00117,network security,security,general,advanced,,7.56,network security security general advanced,network security security general advance
SK_00118,python scripting,ai/ml,general,intermediate,,9.04,python scripting ai/ml general intermediate,python scripting ai ml general intermediate
SK_00119,data warehouse,data,general,advanced,,6.13,data warehouse data general advanced,datum warehouse datum general advance
SK_00120,configuration management,devops,general,advanced,,7.51,configuration management devops general advanced,configuration management devop general advance
SK_00121,kafka,data,general,advanced,,7.32,kafka data general advanced,kafka datum general advance
SK_00122,hive,data,general,advanced,,7.47,hive data general advanced,hive data general advance
SK_00123,jenkins,cloud & infrastructure,general,advanced,,7.89,jenkins cloud & infrastructure general advanced,jenkins cloud infrastructure general advance
SK_00124,hyperparameter tuning,ai/ml,general,advanced,,7.9,hyperparameter tuning ai/ml general advanced,hyperparameter tuning ai ml general advance
SK_00125,api gateway,devops,general,advanced,,7.37,api gateway devops general advanced,api gateway devop general advance
SK_00126,nuxt.js,web frontend,general,advanced,,6.45,nuxt.js web frontend general advanced,nuxt.js web frontend general advance
SK_00127,feature engineering,ai/ml,general,advanced,,7.28,feature engineering ai/ml general advanced,feature engineering ai ml general advance
SK_00128,soc 2,security,general,advanced,,7.45,soc 2 security general advanced,soc 2 security general advance
SK_00129,reinforcement learning,ai/ml,general,advanced,,6.17,reinforcement learning ai/ml general advanced,reinforcement learning ai ml general advance
SK_00130,problem solving,soft skills,general,advanced,,7.88,problem solving soft skills general advanced,problem solve soft skill general advanced
SK_00131,bootstrap,web frontend,general,advanced,,6.2,bootstrap web frontend general advanced,bootstrap web frontend general advance
SK_00132,time management,soft skills,general,advanced,,7.94,time management soft skills general advanced,time management soft skill general advanced
SK_00133,cost optimization,cloud & infrastructure,general,advanced,,6.65,cost optimization cloud & infrastructure general advanced,cost optimization cloud infrastructure general advance
SK_00134,leadership,soft skills,general,advanced,,6.35,leadership soft skills general advanced,leadership soft skill general advanced
SK_00135,postgresql,web backend,general,intermediate,,7.49,postgresql web backend general intermediate,postgresql web backend general intermediate
SK_00136,svelte,web frontend,general,advanced,,7.41,svelte web frontend general advanced,svelte web frontend general advance
SK_00137,data science,ai/ml,general,advanced,,6.41,data science ai/ml general advanced,data science ai ml general advance
SK_00138,prometheus,devops,general,advanced,,6.65,prometheus devops general advanced,prometheus devop general advance
SK_00139,azure,cloud & infrastructure,general,advanced,,6.96,azure cloud & infrastructure general advanced,azure cloud infrastructure general advance
SK_00140,presto,data,general,advanced,,6.13,presto data general advanced,presto data general advance
SK_00141,cryptography (advanced),security,general,advanced,,7.61,cryptography (advanced) security general advanced,cryptography advanced security general advance
SK_00142,cryptography (senior),security,general,advanced,,7.92,cryptography (senior) security general advanced,cryptography senior security general advance
SK_00143,cryptography (junior),security,general,advanced,,6.14,cryptography (junior) security general advanced,cryptography junior security general advance
SK_00144,cryptography (expert),security,general,advanced,,7.08,cryptography (expert) security general advanced,cryptography expert security general advance
SK_00145,cryptography (intermediate),security,general,advanced,,6.62,cryptography (intermediate) security general advanced,cryptography intermediate security general advance
SK_00146,iso 27001 (advanced),security,general,advanced,,7.34,iso 27001 (advanced) security general advanced,iso 27001 advanced security general advance
SK_00147,iso 27001 (senior),security,general,advanced,,6.56,iso 27001 (senior) security general advanced,iso 27001 senior security general advance
SK_00148,iso 27001 (junior),security,general,advanced,,7.61,iso 27001 (junior) security general advanced,iso 27001 junior security general advance
SK_00149,iso 27001 (expert),security,general,advanced,,6.34,iso 27001 (expert) security general advanced,iso 27001 expert security general advance
SK_00150,iso 27001 (intermediate),security,general,advanced,,6.22,iso 27001 (intermediate) security general advanced,iso 27001 intermediate security general advance
SK_00151,authorization (advanced),web backend,general,advanced,,7.12,authorization (advanced) web backend general advanced,authorization advanced web backend general advance
SK_00152,authorization (senior),web backend,general,advanced,,6.14,authorization (senior) web backend general advanced,authorization senior web backend general advance
SK_00153,authorization (junior),web backend,general,advanced,,6.54,authorization (junior) web backend general advanced,authorization junior web backend general advance
SK_00154,authorization (expert),web backend,general,advanced,,7.18,authorization (expert) web backend general advanced,authorization expert web backend general advance
SK_00155,authorization (intermediate),web backend,general,advanced,,7.4,authorization (intermediate) web backend general advanced,authorization intermediate web backend general advance
SK_00156,gitlab ci (advanced),cloud & infrastructure,general,beginner,,6.29,gitlab ci (advanced) cloud & infrastructure general beginner,gitlab ci advanced cloud infrastructure general beginner
SK_00157,gitlab ci (senior),cloud & infrastructure,general,beginner,,7.51,gitlab ci (senior) cloud & infrastructure general beginner,gitlab ci senior cloud infrastructure general beginner
SK_00158,gitlab ci (junior),cloud & infrastructure,general,beginner,,6.4,gitlab ci (junior) cloud & infrastructure general beginner,gitlab ci junior cloud infrastructure general beginner
SK_00159,gitlab ci (expert),cloud & infrastructure,general,beginner,,6.9,gitlab ci (expert) cloud & infrastructure general beginner,gitlab ci expert cloud infrastructure general beginner
SK_00160,gitlab ci (intermediate),cloud & infrastructure,general,beginner,,6.65,gitlab ci (intermediate) cloud & infrastructure general beginner,gitlab ci intermediate cloud infrastructure general beginner
SK_00161,react (advanced),web frontend,general,intermediate,,9.64,react (advanced) web frontend general intermediate,react advanced web frontend general intermediate
SK_00162,react (senior),web frontend,general,intermediate,,9.2,react (senior) web frontend general intermediate,react senior web frontend general intermediate
SK_00163,react (junior),web frontend,general,intermediate,,9.27,react (junior) web frontend general intermediate,react junior web frontend general intermediate
SK_00164,react (expert),web frontend,general,intermediate,,9.85,react (expert) web frontend general intermediate,react expert web frontend general intermediate
SK_00165,react (intermediate),web frontend,general,intermediate,,9.7,react (intermediate) web frontend general intermediate,react intermediate web frontend general intermediate
SK_00166,nlp (advanced),ai/ml,general,advanced,,7.18,nlp (advanced) ai/ml general advanced,nlp advanced ai ml general advance
SK_00167,nlp (senior),ai/ml,general,advanced,,6.76,nlp (senior) ai/ml general advanced,nlp senior ai ml general advance
SK_00168,nlp (junior),ai/ml,general,advanced,,6.18,nlp (junior) ai/ml general advanced,nlp junior ai ml general advance
SK_00169,nlp (expert),ai/ml,general,advanced,,7.96,nlp (expert) ai/ml general advanced,nlp expert ai ml general advance
SK_00170,nlp (intermediate),ai/ml,general,advanced,,6.6,nlp (intermediate) ai/ml general advanced,nlp intermediate ai ml general advance
SK_00171,database management (advanced),cloud & infrastructure,general,advanced,,7.23,database management (advanced) cloud & infrastructure general advanced,database management advanced cloud infrastructure general advance
SK_00172,database management (senior),cloud & infrastructure,general,advanced,,6.26,database management (senior) cloud & infrastructure general advanced,database management senior cloud infrastructure general advance
SK_00173,database management (junior),cloud & infrastructure,general,advanced,,7.74,database management (junior) cloud & infrastructure general advanced,database management junior cloud infrastructure general advance
SK_00174,database management (expert),cloud & infrastructure,general,advanced,,7.52,database management (expert) cloud & infrastructure general advanced,database management expert cloud infrastructure general advance
SK_00175,database management (intermediate),cloud & infrastructure,general,advanced,,7.63,database management (intermediate) cloud & infrastructure general advanced,database management intermediate cloud infrastructure general advance
SK_00176,apache flink (advanced),data,general,advanced,,7.69,apache flink (advanced) data general advanced,apache flink advanced datum general advance
SK_00177,apache flink (senior),data,general,advanced,,7.01,apache flink (senior) data general advanced,apache flink senior datum general advance
SK_00178,apache flink (junior),data,general,advanced,,7.63,apache flink (junior) data general advanced,apache flink junior datum general advance
SK_00179,apache flink (expert),data,general,advanced,,6.48,apache flink (expert) data general advanced,apache flink expert datum general advance
SK_00180,apache flink (intermediate),data,general,advanced,,7.04,apache flink (intermediate) data general advanced,apache flink intermediate datum general advance
SK_00181,pytorch (advanced),ai/ml,general,advanced,,7.54,pytorch (advanced) ai/ml general advanced,pytorch advanced ai ml general advance
SK_00182,pytorch (senior),ai/ml,general,advanced,,6.56,pytorch (senior) ai/ml general advanced,pytorch senior ai ml general advance
SK_00183,pytorch (junior),ai/ml,general,advanced,,7.82,pytorch (junior) ai/ml general advanced,pytorch junior ai ml general advance
SK_00184,pytorch (expert),ai/ml,general,advanced,,6.15,pytorch (expert) ai/ml general advanced,pytorch expert ai ml general advance
SK_00185,pytorch (intermediate),ai/ml,general,advanced,,7.15,pytorch (intermediate) ai/ml general advanced,pytorch intermediate ai ml general advance
SK_00186,performance optimization (advanced),web frontend,general,advanced,,7.4,performance optimization (advanced) web frontend general advanced,performance optimization advanced web frontend general advance
SK_00187,performance optimization (senior),web frontend,general,advanced,,6.76,performance optimization (senior) web frontend general advanced,performance optimization senior web frontend general advance
SK_00188,performance optimization (junior),web frontend,general,advanced,,6.8,performance optimization (junior) web frontend general advanced,performance optimization junior web frontend general advance
SK_00189,performance optimization (expert),web frontend,general,advanced,,7.68,performance optimization (expert) web frontend general advanced,performance optimization expert web frontend general advance
SK_00190,performance optimization (intermediate),web frontend,general,advanced,,6.88,performance optimization (intermediate) web frontend general advanced,performance optimization intermediate web frontend general advance
SK_00191,docker (advanced),cloud & infrastructure,general,advanced,,9.17,docker (advanced) cloud & infrastructure general advanced,docker advanced cloud infrastructure general advance
SK_00192,docker (senior),cloud & infrastructure,general,advanced,,9.53,docker (senior) cloud & infrastructure general advanced,docker senior cloud infrastructure general advance
SK_00193,docker (junior),cloud & infrastructure,general,advanced,,8.81,docker (junior) cloud & infrastructure general advanced,docker junior cloud infrastructure general advance
SK_00194,docker (expert),cloud & infrastructure,general,advanced,,9.57,docker (expert) cloud & infrastructure general advanced,docker expert cloud infrastructure general advance
SK_00195,docker (intermediate),cloud & infrastructure,general,advanced,,9.22,docker (intermediate) cloud & infrastructure general advanced,docker intermediate cloud infrastructure general advance
SK_00196,adaptability (advanced),soft skills,general,advanced,,7.68,adaptability (advanced) soft skills general advanced,adaptability advanced soft skill general advanced
SK_00197,adaptability (senior),soft skills,general,advanced,,7.63,adaptability (senior) soft skills general advanced,adaptability senior soft skill general advanced
SK_00198,adaptability (junior),soft skills,general,advanced,,7.61,adaptability (junior) soft skills general advanced,adaptability junior soft skill general advanced
SK_00199,adaptability (expert),soft skills,general,advanced,,6.82,adaptability (expert) soft skills general advanced,adaptability expert soft skill general advanced
SK_00200,adaptability (intermediate),soft skills,general,advanced,,6.8,adaptability (intermediate) soft skills general advanced,adaptability intermediate soft skill general advanced
SK_00201,microservices (advanced),web backend,general,advanced,,6.81,microservices (advanced) web backend general advanced,microservice advanced web backend general advance
SK_00202,microservices (senior),web backend,general,advanced,,6.37,microservices (senior) web backend general advanced,microservice senior web backend general advance
SK_00203,microservices (junior),web backend,general,advanced,,6.11,microservices (junior) web backend general advanced,microservice junior web backend general advance
SK_00204,microservices (expert),web backend,general,advanced,,6.78,microservices (expert) web backend general advanced,microservice expert web backend general advance
SK_00205,microservices (intermediate),web backend,general,advanced,,7.82,microservices (intermediate) web backend general advanced,microservice intermediate web backend general advance
SK_00206,team collaboration (advanced),soft skills,general,advanced,,8.0,team collaboration (advanced) soft skills general advanced,team collaboration advanced soft skill general advanced
SK_00207,team collaboration (senior),soft skills,general,advanced,,7.16,team collaboration (senior) soft skills general advanced,team collaboration senior soft skill general advanced
SK_00208,team collaboration (junior),soft skills,general,advanced,,7.74,team collaboration (junior) soft skills general advanced,team collaboration junior soft skill general advanced
SK_00209,team collaboration (expert),soft skills,general,advanced,,6.32,team collaboration (expert) soft skills general advanced,team collaboration expert soft skill general advanced
SK_00210,team collaboration (intermediate),soft skills,general,advanced,,6.5,team collaboration (intermediate) soft skills general advanced,team collaboration intermediate soft skill general advanced
SK_00211,stream processing (advanced),data,general,advanced,,7.68,stream processing (advanced) data general advanced,stream processing advanced datum general advance
SK_00212,stream processing (senior),data,general,advanced,,6.41,stream processing (senior) data general advanced,stream processing senior datum general advance
SK_00213,stream processing (junior),data,general,advanced,,7.34,stream processing (junior) data general advanced,stream processing junior datum general advance
SK_00214,stream processing (expert),data,general,advanced,,7.02,stream processing (expert) data general advanced,stream processing expert datum general advance
SK_00215,stream processing (intermediate),data,general,advanced,,6.48,stream processing (intermediate) data general advanced,stream processing intermediate datum general advance
SK_00216,observability (advanced),cloud & infrastructure,general,advanced,,7.86,observability (advanced) cloud & infrastructure general advanced,observability advanced cloud infrastructure general advance
SK_00217,observability (senior),cloud & infrastructure,general,advanced,,6.23,observability (senior) cloud & infrastructure general advanced,observability senior cloud infrastructure general advance
SK_00218,observability (junior),cloud & infrastructure,general,advanced,,6.55,observability (junior) cloud & infrastructure general advanced,observability junior cloud infrastructure general advance
SK_00219,observability (expert),cloud & infrastructure,general,advanced,,6.56,observability (expert) cloud & infrastructure general advanced,observability expert cloud infrastructure general advance
SK_00220,observability (intermediate),cloud & infrastructure,general,advanced,,7.62,observability (intermediate) cloud & infrastructure general advanced,observability intermediate cloud infrastructure general advance
SK_00221,security compliance (advanced),security,general,advanced,,7.19,security compliance (advanced) security general advanced,security compliance advanced security general advance
SK_00222,security compliance (senior),security,general,advanced,,7.97,security compliance (senior) security general advanced,security compliance senior security general advance
SK_00223,security compliance (junior),security,general,advanced,,7.12,security compliance (junior) security general advanced,security compliance junior security general advance
SK_00224,security compliance (expert),security,general,advanced,,7.06,security compliance (expert) security general advanced,security compliance expert security general advance
SK_00225,security compliance (intermediate),security,general,advanced,,8.0,security compliance (intermediate) security general advanced,security compliance intermediate security general advance
SK_00226,mentoring (advanced),soft skills,general,advanced,,7.86,mentoring (advanced) soft skills general advanced,mentor advanced soft skill general advanced
SK_00227,mentoring (senior),soft skills,general,advanced,,7.29,mentoring (senior) soft skills general advanced,mentor senior soft skill general advanced
SK_00228,mentoring (junior),soft skills,general,advanced,,6.03,mentoring (junior) soft skills general advanced,mentor junior soft skill general advanced
SK_00229,mentoring (expert),soft skills,general,advanced,,6.92,mentoring (expert) soft skills general advanced,mentor expert soft skill general advanced
SK_00230,mentoring (intermediate),soft skills,general,advanced,,6.26,mentoring (intermediate) soft skills general advanced,mentor intermediate soft skill general advanced
SK_00231,tensorflow (advanced),ai/ml,general,advanced,,9.05,tensorflow (advanced) ai/ml general advanced,tensorflow advanced ai ml general advance
SK_00232,tensorflow (senior),ai/ml,general,advanced,,9.6,tensorflow (senior) ai/ml general advanced,tensorflow senior ai ml general advance
SK_00233,tensorflow (junior),ai/ml,general,advanced,,8.87,tensorflow (junior) ai/ml general advanced,tensorflow junior ai ml general advance
SK_00234,tensorflow (expert),ai/ml,general,advanced,,9.37,tensorflow (expert) ai/ml general advanced,tensorflow expert ai ml general advance
SK_00235,tensorflow (intermediate),ai/ml,general,advanced,,8.54,tensorflow (intermediate) ai/ml general advanced,tensorflow intermediate ai ml general advance
SK_00236,hadoop (advanced),data,general,advanced,,6.75,hadoop (advanced) data general advanced,hadoop advanced datum general advance
SK_00237,hadoop (senior),data,general,advanced,,6.19,hadoop (senior) data general advanced,hadoop senior datum general advance
SK_00238,hadoop (junior),data,general,advanced,,6.36,hadoop (junior) data general advanced,hadoop junior datum general advance
SK_00239,hadoop (expert),data,general,advanced,,6.08,hadoop (expert) data general advanced,hadoop expert datum general advance
SK_00240,hadoop (intermediate),data,general,advanced,,6.35,hadoop (intermediate) data general advanced,hadoop intermediate datum general advance
SK_00241,angular (advanced),web frontend,general,advanced,,7.63,angular (advanced) web frontend general advanced,angular advanced web frontend general advance
SK_00242,angular (senior),web frontend,general,advanced,,6.51,angular (senior) web frontend general advanced,angular senior web frontend general advance
SK_00243,angular (junior),web frontend,general,advanced,,6.63,angular (junior) web frontend general advanced,angular junior web frontend general advance
SK_00244,angular (expert),web frontend,general,advanced,,7.75,angular (expert) web frontend general advanced,angular expert web frontend general advance
SK_00245,angular (intermediate),web frontend,general,advanced,,6.26,angular (intermediate) web frontend general advanced,angular intermediate web frontend general advance
SK_00246,monitoring (advanced),cloud & infrastructure,general,advanced,,6.92,monitoring (advanced) cloud & infrastructure general advanced,monitoring advanced cloud infrastructure general advance
SK_00247,monitoring (senior),cloud & infrastructure,general,advanced,,7.86,monitoring (senior) cloud & infrastructure general advanced,monitoring senior cloud infrastructure general advance
SK_00248,monitoring (junior),cloud & infrastructure,general,advanced,,7.32,monitoring (junior) cloud & infrastructure general advanced,monitoring junior cloud infrastructure general advance
SK_00249,monitoring (expert),cloud & infrastructure,general,advanced,,7.39,monitoring (expert) cloud & infrastructure general advanced,monitoring expert cloud infrastructure general advance
