job_id,job_title,field,industry,experience_level,education_required,required_skills,preferred_skills,job_type,location,salary_min,salary_max,remote_option,description
JOB_00011,Senior QA Engineer,Senior,SaaS,Junior,Master,Flask;Authorization;Java;Problem Solving;ISO 27001,Mentoring;Container Orchestration;Message Queues,Full-time,"Boston, USA",7000,17500,Remote,Seeking Senior QA Engineer with skills: Flask;Authorization;Java;Probl
JOB_00012,Engineering Manager,Engineering,Healthcare,Lead,Any,Docker;ISO 27001;Tableau;Cost Optimization;Go,LLM;Django;HTML/CSS,Hybrid,"Multan, Pakistan",15000,30000,Remote,Seeking Engineering Manager with skills: Docker;ISO 27001;Tableau;Cost 
JOB_00013,Games Engineer,Games,Transportation,Mid-level,Any,Web Accessibility;Monitoring Tools;Big Data;Material UI;Data Science,Java;Database Management;NLP,Hybrid,"Berlin, Germany",12500,25000,Hybrid,Seeking Games Engineer with skills: Web Accessibility;Monitoring T
JOB_00014,Senior QA Engineer,Senior,Automotive,Mid-level,Master,Keras;Monitoring Tools;Next.js;Logging;Statistics,React Testing Library;Jest;PyTorch,Full-time,"Vancouver, Canada",12500,25000,Remote,Seeking Senior QA Engineer with skills: Keras;Monitoring Tools;Next.js
JOB_00015,AWS Solutions Architect,AWS,Travel,Senior,Master,GitHub Actions;RESTful APIs;Next.js;Python;DevOps,GitHub Actions;Tableau;Web Accessibility,Full-time,Singapore,10000,20000,On-site,Seeking AWS Solutions Architect with skills: GitHub Actions;RESTful APIs;Ne
JOB_00016,TypeScript Developer,TypeScript,InsurTech,Senior,Master,Redux;MongoDB;Penetration Testing;Google Cloud Platform;SRE,Machine Learning;FastAPI;Big Data,Hybrid,"Seattle, USA",35000,70000,Remote,Seeking TypeScript Developer with skills: Redux;MongoDB;Penetration Test
JOB_00017,Technical Lead,Technical,Media,Senior,Any,Communication;Redis;OAuth;Webpack;Project Management,Infrastructure Automation;Jest;Message Queues,Full-time,"Vancouver, Canada",25000,50000,On-site,Seeking Technical Lead with skills: Communication;Redis;OAuth;Webp
JOB_00018,Data Architect,Data,Fintech,Senior,Bachelor,Cost Optimization;ISO 27001;Performance Optimization;Vue.js;HTML/CSS,Logging;Auto Scaling;Problem Solving,Contract,Hong Kong,10000,20000,Hybrid,Seeking Data Architect with skills: Cost Optimization;ISO 27001;Pe
JOB_00019,Incident Response Engineer,Incident,Healthcare,Lead,Any,Time Management;Cost Optimization;Data Science;Tableau;Mentoring,Vue.js;HTML/CSS;GitLab CI,Hybrid,"Faisalabad, Pakistan",15000,30000,On-site,Seeking Incident Response Engineer with skills: Time Management;Cost Optimizat
JOB_00020,Software Architect,Software,Energy,Mid-level,Bachelor,OAuth;DevOps;Keras;SQL;Jest,NLP;Express;Adaptability,Contract,"Karachi, Pakistan",5000,10000,On-site,Seeking Software Architect with skills: OAuth;DevOps;Keras;SQL;Jest
JOB_00021,Test Architect,Test,Retail,Senior,Any,Monitoring Tools;Negotiation;Penetration Testing;Apache Spark;Model Evaluation,Session Management;TensorFlow;SQL,Hybrid,"Rawalpindi, Pakistan",10000,20000,Remote,Seeking Test Architect with skills: Monitoring Tools;Negotiation;P
JOB_00022,VP of Engineering,VP,Fintech,Senior,Any,Database Management;Cloud Security;React;Message Queues;Svelte,Configuration Management;JWT;Kafka,Hybrid,"Vancouver, Canada",25000,50000,On-site,Seeking VP of Engineering with skills: Database Management;Cloud Secu
JOB_00023,Data Scientist,Data,SaaS,Senior,Any,Load Balancing;Jest;API Gateway;React Testing Library;Big Data,Logging;Svelte;Data Warehouse,Full-time,Singapore,10000,20000,Hybrid,Seeking Data Scientist with skills: Load Balancing;Jest;API Gatewa
JOB_00024,Node.js Developer,Node.js,EdTech,Lead,Any,Prometheus;GDPR;Container Orchestration;Power BI;Scikit-learn,Bootstrap;TensorFlow;Hyperparameter Tuning,Full-time,"Lahore, Pakistan",15000,30000,Hybrid,Seeking Node.js Developer with skills: Prometheus;GDPR;Container Orch
JOB_00025,Machine Learning Engineer,Machine,Manufacturing,Junior,Bachelor,Stream Processing;Apache Flink;Express;Zustand;Material UI,Feature Engineering;Apache Flink;Cryptography,Contract,"Toronto, Canada",5000,12500,Remote,Seeking Machine Learning Engineer with skills: Stream Processing;Apache Flink
JOB_00026,Technical Lead,Technical,E-commerce,Mid-level,Bachelor,Infrastructure as Code;Hive;Logging;Feature Engineering;Node.js,Bash;Rust;Network Security,Hybrid,"Dubai, UAE",5000,10000,Hybrid,Seeking Technical Lead with skills: Infrastructure as Code;Hive;Lo
JOB_00027,ML Ops Engineer,ML,Retail,Junior,Master,Redis;Penetration Testing;Vite;Azure;Leadership,Load Balancing;Vue.js;ETL,Hybrid,"Miami, USA",7000,17500,Hybrid,Seeking ML Ops Engineer with skills: Redis;Penetration Testing;Vite
JOB_00028,Systems Engineer,Systems,Gaming,Lead,Master,Tableau;Vue.js;Node.js;Rust;Configuration Management,Security Architecture;Responsive Design;NLP,Full-time,"Multan, Pakistan",15000,30000,Remote,Seeking Systems Engineer with skills: Tableau;Vue.js;Node.js;Rust;Co
JOB_00029,Test Architect,Test,Automotive,Junior,Bachelor,Apache Spark;ISO 27001;Material UI;DevOps;Bootstrap,Security Compliance;MongoDB;DevOps,Full-time,"Miami, USA",7000,17500,Hybrid,Seeking Test Architect with skills: Apache Spark;ISO 27001;Materia
JOB_00030,Product Manager,Product,Real Estate,Senior,Any,Nuxt.js;Python;Terraform;Responsive Design;Probability,BERT;Bash;ELK Stack,Contract,"Peshawar, Pakistan",10000,20000,On-site,Seeking Product Manager with skills: Nuxt.js;Python;Terraform;Respo
JOB_00031,VP of Engineering,VP,Manufacturing,Lead,Master,Elasticsearch;Vue.js;Authorization;Jenkins;Firewalls,FastAPI;Python Scripting;ETL,Contract,"Boston, USA",52500,105000,Hybrid,Seeking VP of Engineering with skills: Elasticsearch;Vue.js;Authoriza
JOB_00032,Mobile Engineer,Mobile,Education,Senior,Any,BERT;Google Cloud Platform;RESTful APIs;Logging;Material UI,PostgreSQL;Statistics;Tailwind CSS,Full-time,"Manchester, UK",25000,50000,Hybrid,Seeking Mobile Engineer with skills: BERT;Google Cloud Platform;RES
JOB_00033,Automation Engineer,Automation,Telecommunications,Senior,Master,Docker;Mentoring;Redux;Infrastructure Automation;Grafana,BERT;Node.js;Webpack,Hybrid,"Chicago, USA",35000,70000,On-site,Seeking Automation Engineer with skills: Docker;Mentoring;Redux;Infrast
JOB_00034,Cloud Security Engineer,Cloud,E-commerce,Mid-level,Any,Vulnerability Assessment;Flask;Scikit-learn;Observability;Redis,Deep Learning;Google Cloud Platform;OWASP,Contract,"Dubai, UAE",5000,10000,Remote,Seeking Cloud Security Engineer with skills: Vulnerability Assessment;Flask
JOB_00035,Penetration Tester,Penetration,Transportation,Senior,Bachelor,Negotiation;Firewalls;Web Accessibility;Big Data;Infrastructure as Code,Data Warehouse;Reinforcement Learning;SQL,Contract,Hong Kong,10000,20000,Hybrid,Seeking Penetration Tester with skills: Negotiation;Firewalls;Web Acce
JOB_00036,Full Stack Developer,Full,Education,Mid-level,Master,Hive;Time Management;Logging;Cost Optimization;Kubernetes,SQL;TensorFlow;Computer Vision,Hybrid,"Vancouver, Canada",12500,25000,Hybrid,Seeking Full Stack Developer with skills: Hive;Time Management;Logging;C
JOB_00037,Security Engineer,Security,Retail,Senior,Master,HTML/CSS;Machine Learning;Stream Processing;Statistics;LLM,GDPR;HTML/CSS;Model Evaluation,Contract,"Multan, Pakistan",10000,20000,Hybrid,Seeking Security Engineer with skills: HTML/CSS;Machine Learning;Stre
JOB_00038,Senior Machine Learning Engineer,Senior,Technology,Senior,Master,Python;Data Visualization;Firewalls;Hadoop;Tableau,Penetration Testing;Security Compliance;Angular,Full-time,"Quetta, Pakistan",10000,20000,Hybrid,Seeking Senior Machine Learning Engineer with skills: Python;Data Visualization;Fire
JOB_00039,Full Stack Developer,Full,Energy,Senior,Any,Time Management;Flask;JavaScript;Data Pipeline;Load Balancing,Linux;Agile/Scrum;OAuth,Hybrid,"London, UK",25000,50000,On-site,Seeking Full Stack Developer with skills: Time Management;Flask;JavaScri
JOB_00040,Games Engineer,Games,Healthcare,Lead,Master,Network Security;NLP;Session Management;Webpack;Neural Networks,Security Architecture;Statistics;Responsive Design,Full-time,"Mumbai, India",15000,30000,Remote,Seeking Games Engineer with skills: Network Security;NLP;Session M
JOB_00041,AI Research Scientist,AI,Logistics,Senior,Bachelor,Data Science;Service Mesh;Neural Networks;Microservices;Cryptography,Container Orchestration;Team Collaboration;PostgreSQL,Contract,"Miami, USA",35000,70000,Hybrid,Seeking AI Research Scientist with skills: Data Science;Service Mesh;Neur
JOB_00042,Computer Vision Engineer,Computer,Finance,Senior,Master,Performance Optimization;MySQL;Model Evaluation;SRE;Vite,Auto Scaling;MySQL;ELK Stack,Contract,"Toronto, Canada",25000,50000,Hybrid,Seeking Computer Vision Engineer with skills: Performance Optimization;MySQL
JOB_00043,Backend Engineer,Backend,Energy,Junior,Any,Redis;Computer Vision;Python;Hyperparameter Tuning;TypeScript,Team Collaboration;Kafka;Feature Engineering,Hybrid,"Berlin, Germany",5000,12500,Remote,Seeking Backend Engineer with skills: Redis;Computer Vision;Python;H
JOB_00044,QA Engineer,QA,Education,Junior,Bachelor,Jenkins;Hadoop;SRE;AWS;Service Mesh,Hadoop;GPT;Logging,Full-time,"Chicago, USA",7000,17500,Hybrid,Seeking QA Engineer with skills: Jenkins;Hadoop;SRE;AWS;Service
JOB_00045,Mobile Engineer,Mobile,Transportation,Junior,Any,Statistics;Deep Learning;SSL/TLS;Java;Jest,Tableau;Svelte;Power BI,Contract,"Chicago, USA",7000,17500,Hybrid,Seeking Mobile Engineer with skills: Statistics;Deep Learning;SSL/T
JOB_00046,Full Stack Developer,Full,Travel,Mid-level,Any,Cryptography;Penetration Testing;Feature Engineering;Elasticsearch;Service Mesh,Transformers;Threat Modeling;Load Balancing,Contract,"Berlin, Germany",12500,25000,On-site,Seeking Full Stack Developer with skills: Cryptography;Penetration Testi
JOB_00047,Engineering Manager,Engineering,Retail,Lead,Any,Critical Thinking;Performance Optimization;Looker;Keras;Nuxt.js,Web Accessibility;Material UI;Probability,Full-time,"Karachi, Pakistan",15000,30000,Remote,Seeking Engineering Manager with skills: Critical Thinking;Performance 
JOB_00048,TypeScript Developer,TypeScript,SaaS,Mid-level,Bachelor,Session Management;Negotiation;Message Queues;Monitoring Tools;Grafana,Data Warehouse;Critical Thinking;Node.js,Hybrid,"San Francisco, USA",17500,35000,Hybrid,Seeking TypeScript Developer with skills: Session Management;Negotiation
JOB_00049,Software Architect,Software,Fintech,Mid-level,Bachelor,Linux;Tableau;Monitoring;Security Compliance;Scikit-learn,SQL;Material UI;API Gateway,Full-time,"Bangkok, Thailand",5000,10000,Remote,Seeking Software Architect with skills: Linux;Tableau;Monitoring;Secur
JOB_00050,Systems Engineer,Systems,Logistics,Senior,Bachelor,Performance Optimization;Hive;Apache Flink;Express;Bootstrap,MySQL;Deep Learning;Vulnerability Assessment,Full-time,"Amsterdam, Netherlands",10000,20000,Hybrid,Seeking Systems Engineer with skills: Performance Optimization;Hive;
JOB_00051,Database Administrator,Database,E-commerce,Lead,Bachelor,Node.js;TypeScript;ETL;Authorization;Machine Learning,Probability;PyTorch;Logging,Hybrid,"San Francisco, USA",52500,105000,On-site,Seeking Database Administrator with skills: Node.js;TypeScript;ETL;Authori
JOB_00052,Data Architect,Data,Travel,Lead,Any,JavaScript;Database Management;Tailwind CSS;Svelte;Security Architecture,Express;JavaScript;Apache Flink,Contract,"Multan, Pakistan",15000,30000,Hybrid,Seeking Data Architect with skills: JavaScript;Database Management
JOB_00053,Security Architect,Security,Energy,Lead,Any,Penetration Testing;Vulnerability Assessment;Stream Processing;Authentication;Monitoring,Hadoop;Apache Spark;Communication,Contract,"San Francisco, USA",52500,105000,Remote,Seeking Security Architect with skills: Penetration Testing;Vulnerabil
JOB_00054,Incident Response Engineer,Incident,EdTech,Junior,Any,Hadoop;Vulnerability Assessment;OAuth;Project Management;Flask,Cryptography;Message Queues;GPT,Hybrid,"Quetta, Pakistan",2000,5000,Remote,Seeking Incident Response Engineer with skills: Hadoop;Vulnerability Assessmen
JOB_00055,Incident Response Engineer,Incident,Energy,Mid-level,Master,Container Orchestration;Cloud Security;ELK Stack;Communication;MongoDB,Mentoring;JWT;Cost Optimization,Hybrid,"Karachi, Pakistan",5000,10000,Remote,Seeking Incident Response Engineer with skills: Container Orchestration;Cloud 
JOB_00056,NLP Engineer,NLP,Automotive,Mid-level,Any,Elasticsearch;Data Science;SOC 2;ETL;Hyperparameter Tuning,Logging;TypeScript;Observability,Full-time,"Amsterdam, Netherlands",5000,10000,Remote,Seeking NLP Engineer with skills: Elasticsearch;Data Science;SOC
JOB_00057,Systems Engineer,Systems,InsurTech,Junior,Any,Web Accessibility;ISO 27001;Application Security;Infrastructure as Code;Neural Networks,Communication;Data Visualization;Time Management,Hybrid,"Seattle, USA",7000,17500,Remote,Seeking Systems Engineer with skills: Web Accessibility;ISO 27001;Ap
JOB_00058,Data Scientist,Data,EdTech,Mid-level,Any,MySQL;Adaptability;Rust;ELK Stack;Monitoring Tools,Vue.js;MongoDB;Data Pipeline,Contract,"Quetta, Pakistan",5000,10000,Hybrid,Seeking Data Scientist with skills: MySQL;Adaptability;Rust;ELK St
JOB_00059,Senior QA Engineer,Senior,Education,Junior,Master,Leadership;JavaScript;Go;OWASP;Stream Processing,Vue.js;Monitoring;Reinforcement Learning,Hybrid,"Bangalore, India",2000,5000,On-site,Seeking Senior QA Engineer with skills: Leadership;JavaScript;Go;OWASP
JOB_00060,Backend Engineer,Backend,Healthcare,Lead,Bachelor,TensorFlow;Vulnerability Assessment;Elasticsearch;Python;Big Data,Configuration Management;Vite;Authentication,Contract,"Toronto, Canada",37500,75000,On-site,Seeking Backend Engineer with skills: TensorFlow;Vulnerability Asses
JOB_00061,DevOps Engineer,DevOps,Retail,Senior,Any,GitLab CI;Computer Vision;Project Management;Keras;Webpack,Responsive Design;Performance Optimization;Leadership,Hybrid,"Bangalore, India",10000,20000,Hybrid,Seeking DevOps Engineer with skills: GitLab CI;Computer Vision;Proj
JOB_00062,Kubernetes Engineer,Kubernetes,SaaS,Senior,Bachelor,Angular;Stream Processing;Keras;Elasticsearch;Data Visualization,Keras;Message Queues;Svelte,Hybrid,Hong Kong,10000,20000,Hybrid,Seeking Kubernetes Engineer with skills: Angular;Stream Processing;Kera
JOB_00063,Data Scientist,Data,Finance,Lead,Any,Time Management;Hyperparameter Tuning;Authorization;Communication;SRE,Python;Next.js;Bootstrap,Hybrid,"Dubai, UAE",15000,30000,Hybrid,Seeking Data Scientist with skills: Time Management;Hyperparameter
JOB_00064,Big Data Engineer,Big,Gaming,Junior,Bachelor,Python;Tailwind CSS;Stream Processing;Vue.js;Svelte,Deep Learning;Message Queues;Web Accessibility,Hybrid,"Bangkok, Thailand",2000,5000,On-site,Seeking Big Data Engineer with skills: Python;Tailwind CSS;Stream Pro
JOB_00065,AWS Solutions Architect,AWS,Travel,Mid-level,Master,Machine Learning;Next.js;Leadership;Python Scripting;Monitoring,Monitoring Tools;Go;Linux,Full-time,"Amsterdam, Netherlands",5000,10000,Remote,Seeking AWS Solutions Architect with skills: Machine Learning;Next.js;Leade
JOB_00066,Data Engineer,Data,Media,Lead,Master,Scikit-learn;Hyperparameter Tuning;MySQL;API Gateway;Redux,Data Pipeline;Next.js;Rust,Contract,Hong Kong,15000,30000,On-site,Seeking Data Engineer with skills: Scikit-learn;Hyperparameter Tu
JOB_00067,Data Engineer,Data,Automotive,Junior,Master,Tableau;Flask;Apache Spark;Mentoring;Cryptography,Logging;Mentoring;ISO 27001,Contract,"Mumbai, India",2000,5000,Remote,Seeking Data Engineer with skills: Tableau;Flask;Apache Spark;Men
JOB_00068,Penetration Tester,Penetration,Travel,Junior,Master,SSL/TLS;Presto;Deep Learning;Critical Thinking;Penetration Testing,Python;Infrastructure as Code;PostgreSQL,Contract,"Sydney, Australia",2000,5000,Remote,Seeking Penetration Tester with skills: SSL/TLS;Presto;Deep Learning;C
JOB_00069,Database Administrator,Database,Media,Senior,Any,GraphQL;ISO 27001;Session Management;DevOps;Infrastructure as Code,Monitoring Tools;Mentoring;Monitoring,Hybrid,"Tokyo, Japan",10000,20000,Hybrid,Seeking Database Administrator with skills: GraphQL;ISO 27001;Session Mana
JOB_00070,Frontend Engineer,Frontend,Manufacturing,Mid-level,Master,Java;Database Management;DevOps;Observability;API Gateway,Bootstrap;GPT;SQL,Hybrid,"Multan, Pakistan",5000,10000,On-site,Seeking Frontend Engineer with skills: Java;Database Management;DevOp
JOB_00071,Frontend Engineer,Frontend,InsurTech,Mid-level,Master,Data Pipeline;Grafana;Communication;Flask;Angular,TensorFlow;Container Orchestration;Monitoring Tools,Hybrid,Hong Kong,5000,10000,On-site,Seeking Frontend Engineer with skills: Data Pipeline;Grafana;Communic
JOB_00072,Senior Security Engineer,Senior,Automotive,Senior,Bachelor,Redis;Python;OAuth;BERT;Zustand,Tableau;Jest;Data Visualization,Full-time,"Seattle, USA",35000,70000,On-site,Seeking Senior Security Engineer with skills: Redis;Python;OAuth;BERT;Zustan
JOB_00073,Data Architect,Data,Transportation,Senior,Master,Terraform;Go;Penetration Testing;Jest;Machine Learning,Docker;Computer Vision;Cloud Architecture,Hybrid,"Miami, USA",35000,70000,Hybrid,Seeking Data Architect with skills: Terraform;Go;Penetration Testi
JOB_00074,Python Developer,Python,Logistics,Mid-level,Bachelor,MongoDB;Authorization;Network Security;Google Cloud Platform;Performance Optimization,Cloud Security;Terraform;Python,Hybrid,Singapore,5000,10000,Remote,Seeking Python Developer with skills: MongoDB;Authorization;Network 
JOB_00075,Solutions Engineer,Solutions,Logistics,Senior,Bachelor,TensorFlow;Node.js;Auto Scaling;Next.js;React Testing Library,Machine Learning;Express;Logging,Contract,"Rawalpindi, Pakistan",10000,20000,Hybrid,Seeking Solutions Engineer with skills: TensorFlow;Node.js;Auto Scalin
JOB_00076,AI/ML Architect,AI/ML,Gaming,Senior,Master,OWASP;GDPR;SRE;Apache Flink;CI/CD,Bootstrap;Angular;ELK Stack,Hybrid,Singapore,10000,20000,Hybrid,Seeking AI/ML Architect with skills: OWASP;GDPR;SRE;Apache Flink;CI
JOB_00077,AI Research Scientist,AI,Transportation,Junior,Bachelor,Presto;OWASP;MongoDB;Docker;Zustand,BERT;Penetration Testing;Computer Vision,Contract,"Toronto, Canada",5000,12500,On-site,Seeking AI Research Scientist with skills: Presto;OWASP;MongoDB;Docker;Zu
JOB_00078,Senior DevOps Engineer,Senior,Gaming,Senior,Bachelor,Docker;HTML/CSS;Jenkins;GitHub Actions;Vue.js,Apache Spark;API Gateway;Go,Contract,"Lahore, Pakistan",10000,20000,On-site,Seeking Senior DevOps Engineer with skills: Docker;HTML/CSS;Jenkins;GitHub
JOB_00079,Data Engineer,Data,Healthcare,Junior,Any,Security Architecture;ETL;Data Pipeline;DevOps;Feature Engineering,OWASP;Hyperparameter Tuning;Jest,Hybrid,"Boston, USA",7000,17500,Hybrid,Seeking Data Engineer with skills: Security Architecture;ETL;Data
JOB_00080,Kubernetes Engineer,Kubernetes,E-commerce,Junior,Bachelor,Network Security;Penetration Testing;Load Balancing;Power BI;Django,Node.js;Performance Optimization;JWT,Hybrid,"Berlin, Germany",5000,12500,Remote,Seeking Kubernetes Engineer with skills: Network Security;Penetration T
JOB_00081,Technical Lead,Technical,Manufacturing,Mid-level,Master,Hadoop;Reinforcement Learning;ELK Stack;FastAPI;Incident Response,Microservices;PyTorch;Flask,Contract,"Karachi, Pakistan",5000,10000,Hybrid,Seeking Technical Lead with skills: Hadoop;Reinforcement Learning;
JOB_00082,Application Security Engineer,Application,SaaS,Junior,Master,React;Jenkins;Statistics;MongoDB;Computer Vision,Data Pipeline;Infrastructure Automation;Vite,Contract,"Karachi, Pakistan",2000,5000,Remote,Seeking Application Security Engineer with skills: React;Jenkins;Statistics;Mongo
JOB_00083,Kubernetes Engineer,Kubernetes,Real Estate,Mid-level,Any,TensorFlow;Rust;Infrastructure as Code;SRE;Hadoop,Deep Learning;JWT;Vite,Hybrid,"Los Angeles, USA",17500,35000,Hybrid,Seeking Kubernetes Engineer with skills: TensorFlow;Rust;Infrastructure
JOB_00084,Senior Frontend Engineer,Senior,Logistics,Senior,Bachelor,ETL;Microservices;Apache Spark;Cloud Security;Deep Learning,AWS;Mentoring;MongoDB,Full-time,"Bangkok, Thailand",10000,20000,Remote,Seeking Senior Frontend Engineer with skills: ETL;Microservices;Apache Spark
JOB_00085,QA Engineer,QA,Education,Junior,Any,Hive;Jenkins;JavaScript;Grafana;Go,Power BI;Scikit-learn;Looker,Full-time,"Amsterdam, Netherlands",2000,5000,Remote,Seeking QA Engineer with skills: Hive;Jenkins;JavaScript;Grafan
JOB_00086,AI Research Scientist,AI,Transportation,Mid-level,Bachelor,SOC 2;Container Orchestration;Cost Optimization;SSL/TLS;Vue.js,Rust;Infrastructure as Code;Kubernetes,Full-time,"Vancouver, Canada",12500,25000,Remote,Seeking AI Research Scientist with skills: SOC 2;Container Orchestration;
JOB_00087,Senior Backend Engineer,Senior,Transportation,Senior,Any,Scikit-learn;PostgreSQL;Apache Spark;CI/CD;Agile/Scrum,RESTful APIs;Vue.js;Microservices,Full-time,"Portland, USA",35000,70000,Remote,Seeking Senior Backend Engineer with skills: Scikit-learn;PostgreSQL;Apache
JOB_00088,Network Engineer,Network,Manufacturing,Junior,Bachelor,Team Collaboration;LLM;Jest;Performance Optimization;Keras,Cloud Architecture;Authentication;Bootstrap,Contract,"San Francisco, USA",7000,17500,Hybrid,Seeking Network Engineer with skills: Team Collaboration;LLM;Jest;Pe
JOB_00089,AWS Solutions Architect,AWS,Travel,Junior,Bachelor,Project Management;Service Mesh;PostgreSQL;Performance Optimization;Hadoop,Cloud Security;Hadoop;Session Management,Contract,"London, UK",5000,12500,Remote,Seeking AWS Solutions Architect with skills: Project Management;Service Mes
JOB_00090,Director of Engineering,Director,Manufacturing,Junior,Bachelor,Power BI;Nuxt.js;Communication;Kafka;Load Balancing,SOC 2;Transformers;Kafka,Hybrid,"New York, USA",7000,17500,Remote,Seeking Director of Engineering with skills: Power BI;Nuxt.js;Communication
JOB_00091,Cloud Security Engineer,Cloud,Telecommunications,Senior,Any,Data Pipeline;Message Queues;Apache Spark;Tableau;Linux,Big Data;Express;Tailwind CSS,Full-time,"Manchester, UK",25000,50000,On-site,Seeking Cloud Security Engineer with skills: Data Pipeline;Message Queues;A
JOB_00092,Cloud Security Engineer,Cloud,Education,Mid-level,Master,Flask;Python Scripting;Tableau;GitLab CI;Cost Optimization,Security Compliance;Node.js;Neural Networks,Contract,"Chicago, USA",17500,35000,On-site,Seeking Cloud Security Engineer with skills: Flask;Python Scripting;Tableau
JOB_00093,Computer Vision Engineer,Computer,Transportation,Junior,Bachelor,Logging;OWASP;Container Orchestration;Infrastructure as Code;MongoDB,Authentication;MongoDB;Monitoring,Contract,"Tokyo, Japan",2000,5000,Hybrid,Seeking Computer Vision Engineer with skills: Logging;OWASP;Container Orches
JOB_00094,Cloud Security Engineer,Cloud,Manufacturing,Senior,Any,Threat Modeling;Presto;Hive;Security Compliance;Zustand,Vulnerability Assessment;Next.js;Kafka,Contract,"Sydney, Australia",10000,20000,On-site,Seeking Cloud Security Engineer with skills: Threat Modeling;Presto;Hive;Se
JOB_00095,Penetration Tester,Penetration,Travel,Senior,Master,Bash;Redis;Critical Thinking;Penetration Testing;Material UI,Next.js;Svelte;Statistics,Full-time,"Karachi, Pakistan",10000,20000,Remote,Seeking Penetration Tester with skills: Bash;Redis;Critical Thinking;P
JOB_00096,Node.js Developer,Node.js,E-commerce,Junior,Any,Security Architecture;NLP;CI/CD;HTML/CSS;Data Science,Hive;Jenkins;React,Hybrid,"Rawalpindi, Pakistan",2000,5000,Remote,Seeking Node.js Developer with skills: Security Architecture;NLP;CI/C
JOB_00097,Senior Backend Engineer,Senior,Technology,Senior,Bachelor,API Gateway;Kafka;Hadoop;ETL;SOC 2,AWS;Neural Networks;Presto,Full-time,"Toronto, Canada",25000,50000,Hybrid,Seeking Senior Backend Engineer with skills: API Gateway;Kafka;Hadoop;ETL;S
JOB_00098,Computer Vision Engineer,Computer,Healthcare,Mid-level,Any,PostgreSQL;GDPR;Neural Networks;Hadoop;Firewalls,Model Evaluation;Responsive Design;SSL/TLS,Contract,"London, UK",12500,25000,Hybrid,Seeking Computer Vision Engineer with skills: PostgreSQL;GDPR;Neural Network
JOB_00099,Director of Engineering,Director,Fintech,Lead,Master,Incident Response;GPT;Penetration Testing;Data Visualization;Time Management,Redux;Statistics;Terraform,Full-time,"Lahore, Pakistan",15000,30000,Hybrid,Seeking Director of Engineering with skills: Incident Response;GPT;Penetrat
