mapping_id,job_title,skill_name,importance_weight,required_level
MAP_00055,Incident Response Engineer,Cost Optimization,0.99,Intermediate
MAP_00056,Software Architect,OAuth,0.72,Advanced
MAP_00057,Software Architect,DevOps,0.77,Intermediate
MAP_00058,Test Architect,Monitoring Tools,1.0,Intermediate
MAP_00059,Test Architect,Negotiation,0.68,Advanced
MAP_00060,Test Architect,Penetration Testing,0.93,Beginner
MAP_00061,VP of Engineering,Database Management,0.75,Beginner
MAP_00062,VP of Engineering,Cloud Security,0.72,Beginner
MAP_00063,VP of Engineering,React,0.85,Beginner
MAP_00064,VP of Engineering,Message Queues,0.97,Intermediate
MAP_00065,Data Scientist,Load Balancing,0.95,Intermediate
MAP_00066,Data Scientist,Jest,0.83,Beginner
MAP_00067,Data Scientist,API Gateway,0.89,Intermediate
MAP_00068,Node.js Developer,Prometheus,0.88,Intermediate
MAP_00069,Node.js Developer,GDPR,0.72,Intermediate
MAP_00070,Node.js Developer,Container Orchestration,0.7,Beginner
MAP_00071,Machine Learning Engineer,Stream Processing,0.89,Beginner
MAP_00072,Machine Learning Engineer,Apache Flink,0.77,Advanced
MAP_00073,Machine Learning Engineer,Express,0.78,Intermediate
MAP_00074,Technical Lead,Infrastructure as Code,0.79,Advanced
MAP_00075,Technical Lead,Hive,0.99,Intermediate
MAP_00076,Technical Lead,Logging,0.7,Advanced
MAP_00077,Technical Lead,Feature Engineering,0.79,Beginner
MAP_00078,ML Ops Engineer,Redis,0.99,Intermediate
MAP_00079,ML Ops Engineer,Penetration Testing,0.87,Beginner
MAP_00080,ML Ops Engineer,Vite,0.84,Intermediate
MAP_00081,ML Ops Engineer,Azure,0.65,Intermediate
MAP_00082,Systems Engineer,Tableau,0.63,Intermediate
MAP_00083,Systems Engineer,Vue.js,0.86,Advanced
MAP_00084,Systems Engineer,Node.js,0.72,Intermediate
MAP_00085,Systems Engineer,Rust,0.93,Intermediate
MAP_00086,Test Architect,Apache Spark,0.73,Intermediate
MAP_00087,Test Architect,ISO 27001,0.71,Advanced
MAP_00088,Test Architect,Material UI,0.92,Beginner
MAP_00089,Test Architect,DevOps,0.65,Beginner
MAP_00090,Product Manager,Nuxt.js,0.72,Advanced
MAP_00091,Product Manager,Python,0.94,Intermediate
MAP_00092,Product Manager,Terraform,0.79,Beginner
MAP_00093,Product Manager,Responsive Design,0.96,Beginner
MAP_00094,VP of Engineering,Elasticsearch,0.95,Advanced
MAP_00095,VP of Engineering,Vue.js,0.63,Beginner
MAP_00096,VP of Engineering,Authorization,0.81,Advanced
MAP_00097,VP of Engineering,Jenkins,0.72,Advanced
MAP_00098,Mobile Engineer,BERT,0.99,Advanced
MAP_00099,Mobile Engineer,Google Cloud Platform,0.79,Intermediate
MAP_00100,Automation Engineer,Docker,0.62,Intermediate
MAP_00101,Automation Engineer,Mentoring,0.8,Beginner
MAP_00102,Automation Engineer,Redux,0.98,Beginner
MAP_00103,Automation Engineer,Infrastructure Automation,0.78,Intermediate
MAP_00104,Cloud Security Engineer,Vulnerability Assessment,0.95,Intermediate
MAP_00105,Cloud Security Engineer,Flask,0.71,Advanced
MAP_00106,Penetration Tester,Negotiation,0.89,Beginner
MAP_00107,Penetration Tester,Firewalls,0.81,Advanced
MAP_00108,Penetration Tester,Web Accessibility,0.96,Beginner
MAP_00109,Penetration Tester,Big Data,0.84,Beginner
MAP_00110,Full Stack Developer,Hive,0.98,Intermediate
MAP_00111,Full Stack Developer,Time Management,0.99,Intermediate
MAP_00112,Security Engineer,HTML/CSS,0.71,Beginner
MAP_00113,Security Engineer,Machine Learning,0.62,Advanced
MAP_00114,Senior Machine Learning Engineer,Python,0.73,Intermediate
MAP_00115,Senior Machine Learning Engineer,Data Visualization,0.8,Beginner
MAP_00116,Full Stack Developer,Time Management,0.91,Beginner
MAP_00117,Full Stack Developer,Flask,0.73,Beginner
MAP_00118,Full Stack Developer,JavaScript,0.62,Intermediate
MAP_00119,Games Engineer,Network Security,0.63,Beginner
MAP_00120,Games Engineer,NLP,1.0,Beginner
MAP_00121,Games Engineer,Session Management,0.73,Advanced
MAP_00122,Games Engineer,Webpack,0.79,Intermediate
MAP_00123,AI Research Scientist,Data Science,0.97,Beginner
MAP_00124,AI Research Scientist,Service Mesh,0.88,Intermediate
MAP_00125,Computer Vision Engineer,Performance Optimization,0.82,Intermediate
MAP_00126,Computer Vision Engineer,MySQL,0.78,Intermediate
MAP_00127,Backend Engineer,Redis,0.82,Beginner
MAP_00128,Backend Engineer,Computer Vision,0.91,Beginner
MAP_00129,Backend Engineer,Python,0.88,Intermediate
MAP_00130,QA Engineer,Jenkins,0.7,Beginner
MAP_00131,QA Engineer,Hadoop,0.87,Advanced
MAP_00132,QA Engineer,SRE,0.8,Advanced
MAP_00133,Mobile Engineer,Statistics,0.67,Advanced
MAP_00134,Mobile Engineer,Deep Learning,0.69,Beginner
MAP_00135,Mobile Engineer,SSL/TLS,0.63,Advanced
MAP_00136,Full Stack Developer,Cryptography,0.85,Intermediate
MAP_00137,Full Stack Developer,Penetration Testing,0.85,Intermediate
MAP_00138,Full Stack Developer,Feature Engineering,0.72,Beginner
MAP_00139,Engineering Manager,Critical Thinking,0.91,Intermediate
MAP_00140,Engineering Manager,Performance Optimization,0.96,Advanced
MAP_00141,Engineering Manager,Looker,0.89,Beginner
MAP_00142,TypeScript Developer,Session Management,0.93,Beginner
MAP_00143,TypeScript Developer,Negotiation,0.78,Advanced
MAP_00144,TypeScript Developer,Message Queues,0.8,Advanced
MAP_00145,Software Architect,Linux,0.68,Intermediate
MAP_00146,Software Architect,Tableau,0.79,Intermediate
MAP_00147,Software Architect,Monitoring,0.86,Intermediate
MAP_00148,Software Architect,Security Compliance,0.66,Beginner
MAP_00149,Systems Engineer,Performance Optimization,0.63,Intermediate
MAP_00150,Systems Engineer,Hive,0.95,Advanced
MAP_00151,Database Administrator,Node.js,0.8,Beginner
MAP_00152,Database Administrator,TypeScript,0.75,Intermediate
MAP_00153,Data Architect,JavaScript,0.74,Beginner
MAP_00154,Data Architect,Database Management,0.68,Advanced
MAP_00155,Data Architect,Tailwind CSS,0.78,Beginner
MAP_00156,Security Architect,Penetration Testing,0.92,Advanced
MAP_00157,Security Architect,Vulnerability Assessment,0.86,Intermediate
MAP_00158,Security Architect,Stream Processing,0.96,Advanced
MAP_00159,Incident Response Engineer,Hadoop,0.92,Intermediate
MAP_00160,Incident Response Engineer,Vulnerability Assessment,0.9,Beginner
MAP_00161,Incident Response Engineer,Container Orchestration,0.63,Intermediate
MAP_00162,Incident Response Engineer,Cloud Security,0.75,Intermediate
MAP_00163,Incident Response Engineer,ELK Stack,0.68,Advanced
MAP_00164,NLP Engineer,Elasticsearch,0.85,Intermediate
MAP_00165,NLP Engineer,Data Science,0.89,Intermediate
MAP_00166,Systems Engineer,Web Accessibility,0.61,Beginner
MAP_00167,Systems Engineer,ISO 27001,0.65,Beginner
MAP_00168,Systems Engineer,Application Security,0.98,Intermediate
MAP_00169,Data Scientist,MySQL,0.8,Beginner
MAP_00170,Data Scientist,Adaptability,0.84,Beginner
MAP_00171,Data Scientist,Rust,0.9,Intermediate
MAP_00172,Senior QA Engineer,Leadership,0.67,Beginner
MAP_00173,Senior QA Engineer,JavaScript,0.99,Advanced
MAP_00174,Backend Engineer,TensorFlow,0.67,Intermediate
MAP_00175,Backend Engineer,Vulnerability Assessment,0.94,Intermediate
MAP_00176,Backend Engineer,Elasticsearch,0.78,Advanced
MAP_00177,DevOps Engineer,GitLab CI,0.88,Advanced
MAP_00178,DevOps Engineer,Computer Vision,0.77,Advanced
MAP_00179,Kubernetes Engineer,Angular,0.95,Beginner
MAP_00180,Kubernetes Engineer,Stream Processing,0.92,Beginner
MAP_00181,Kubernetes Engineer,Keras,0.65,Advanced
MAP_00182,Kubernetes Engineer,Elasticsearch,0.71,Intermediate
MAP_00183,Data Scientist,Time Management,0.73,Beginner
MAP_00184,Data Scientist,Hyperparameter Tuning,1.0,Intermediate
MAP_00185,Data Scientist,Authorization,0.72,Beginner
MAP_00186,Big Data Engineer,Python,0.8,Beginner
MAP_00187,Big Data Engineer,Tailwind CSS,0.82,Advanced
MAP_00188,Big Data Engineer,Stream Processing,0.97,Intermediate
MAP_00189,AWS Solutions Architect,Machine Learning,0.81,Beginner
MAP_00190,AWS Solutions Architect,Next.js,0.63,Advanced
MAP_00191,AWS Solutions Architect,Leadership,0.81,Advanced
MAP_00192,Data Engineer,Scikit-learn,0.81,Intermediate
MAP_00193,Data Engineer,Hyperparameter Tuning,0.69,Intermediate
MAP_00194,Data Engineer,MySQL,0.99,Advanced
MAP_00195,Data Engineer,Tableau,0.82,Beginner
MAP_00196,Data Engineer,Flask,0.7,Intermediate
MAP_00197,Data Engineer,Apache Spark,0.63,Beginner
MAP_00198,Penetration Tester,SSL/TLS,0.66,Advanced
MAP_00199,Penetration Tester,Presto,0.64,Intermediate
MAP_00200,Database Administrator,GraphQL,0.79,Intermediate
MAP_00201,Database Administrator,ISO 27001,0.71,Advanced
MAP_00202,Database Administrator,Session Management,0.83,Beginner
MAP_00203,Frontend Engineer,Java,0.82,Intermediate
MAP_00204,Frontend Engineer,Database Management,0.97,Advanced
MAP_00205,Frontend Engineer,Data Pipeline,0.63,Intermediate
MAP_00206,Frontend Engineer,Grafana,0.81,Advanced
MAP_00207,Frontend Engineer,Communication,0.97,Intermediate
MAP_00208,Senior Security Engineer,Redis,0.75,Beginner
MAP_00209,Senior Security Engineer,Python,0.69,Advanced
MAP_00210,Data Architect,Terraform,0.76,Advanced
MAP_00211,Data Architect,Go,0.84,Advanced
MAP_00212,Python Developer,MongoDB,0.92,Intermediate
MAP_00213,Python Developer,Authorization,0.67,Intermediate
MAP_00214,Solutions Engineer,TensorFlow,0.68,Beginner
MAP_00215,Solutions Engineer,Node.js,0.94,Intermediate
MAP_00216,AI/ML Architect,OWASP,0.82,Intermediate
MAP_00217,AI/ML Architect,GDPR,0.87,Intermediate
MAP_00218,AI/ML Architect,SRE,0.7,Beginner
MAP_00219,AI Research Scientist,Presto,0.78,Beginner
MAP_00220,AI Research Scientist,OWASP,0.85,Beginner
MAP_00221,Senior DevOps Engineer,Docker,0.63,Advanced
MAP_00222,Senior DevOps Engineer,HTML/CSS,0.98,Beginner
MAP_00223,Data Engineer,Security Architecture,0.99,Intermediate
MAP_00224,Data Engineer,ETL,0.65,Advanced
MAP_00225,Kubernetes Engineer,Network Security,0.94,Advanced
MAP_00226,Kubernetes Engineer,Penetration Testing,0.78,Beginner
MAP_00227,Technical Lead,Hadoop,0.64,Intermediate
MAP_00228,Technical Lead,Reinforcement Learning,0.62,Advanced
MAP_00229,Technical Lead,ELK Stack,0.82,Beginner
MAP_00230,Application Security Engineer,React,0.8,Beginner
MAP_00231,Application Security Engineer,Jenkins,0.97,Beginner
MAP_00232,Kubernetes Engineer,TensorFlow,0.97,Intermediate
MAP_00233,Kubernetes Engineer,Rust,0.61,Beginner
MAP_00234,Kubernetes Engineer,Infrastructure as Code,0.91,Beginner
MAP_00235,Kubernetes Engineer,SRE,0.95,Intermediate
MAP_00236,Senior Frontend Engineer,ETL,0.68,Advanced
MAP_00237,Senior Frontend Engineer,Microservices,0.96,Beginner
MAP_00238,QA Engineer,Hive,0.94,Intermediate
MAP_00239,QA Engineer,Jenkins,0.72,Beginner
MAP_00240,QA Engineer,JavaScript,0.63,Intermediate
MAP_00241,QA Engineer,Grafana,0.95,Beginner
MAP_00242,AI Research Scientist,SOC 2,0.72,Advanced
MAP_00243,AI Research Scientist,Container Orchestration,0.62,Advanced
MAP_00244,Senior Backend Engineer,Scikit-learn,0.9,Intermediate
MAP_00245,Senior Backend Engineer,PostgreSQL,0.69,Advanced
MAP_00246,Senior Backend Engineer,Apache Spark,0.82,Beginner
MAP_00247,Senior Backend Engineer,CI/CD,0.69,Intermediate
MAP_00248,Network Engineer,Team Collaboration,0.92,Advanced
MAP_00249,Network Engineer,LLM,0.95,Beginner
MAP_00250,AWS Solutions Architect,Project Management,0.87,Advanced
MAP_00251,AWS Solutions Architect,Service Mesh,0.86,Beginner
MAP_00252,AWS Solutions Architect,PostgreSQL,0.78,Beginner
MAP_00253,AWS Solutions Architect,Performance Optimization,0.95,Intermediate
MAP_00254,Director of Engineering,Power BI,0.65,Beginner
MAP_00255,Director of Engineering,Nuxt.js,0.65,Advanced
MAP_00256,Cloud Security Engineer,Data Pipeline,0.65,Beginner
MAP_00257,Cloud Security Engineer,Message Queues,0.68,Intermediate
MAP_00258,Cloud Security Engineer,Apache Spark,0.88,Intermediate
MAP_00259,Cloud Security Engineer,Flask,0.9,Advanced
MAP_00260,Cloud Security Engineer,Python Scripting,0.99,Intermediate
MAP_00261,Computer Vision Engineer,Logging,0.81,Advanced
MAP_00262,Computer Vision Engineer,OWASP,0.82,Advanced
MAP_00263,Computer Vision Engineer,Container Orchestration,0.65,Advanced
MAP_00264,Computer Vision Engineer,Infrastructure as Code,0.85,Intermediate
MAP_00265,Cloud Security Engineer,Threat Modeling,0.91,Advanced
MAP_00266,Cloud Security Engineer,Presto,0.76,Intermediate
MAP_00267,Cloud Security Engineer,Hive,0.79,Beginner
MAP_00268,Cloud Security Engineer,Security Compliance,0.94,Advanced
MAP_00269,Penetration Tester,Bash,0.63,Intermediate
MAP_00270,Penetration Tester,Redis,0.61,Beginner
MAP_00271,Node.js Developer,Security Architecture,0.92,Advanced
MAP_00272,Node.js Developer,NLP,0.72,Beginner
MAP_00273,Senior Backend Engineer,API Gateway,0.62,Beginner
MAP_00274,Senior Backend Engineer,Kafka,0.61,Intermediate
MAP_00275,Computer Vision Engineer,PostgreSQL,0.92,Advanced
MAP_00276,Computer Vision Engineer,GDPR,0.9,Beginner
MAP_00277,Director of Engineering,Incident Response,0.95,Beginner
MAP_00278,Director of Engineering,GPT,0.89,Beginner
MAP_00279,Director of Engineering,Penetration Testing,0.94,Beginner
MAP_00280,Director of Engineering,Data Visualization,0.72,Advanced
MAP_00281,Senior Data Engineer,Feature Engineering,0.61,Beginner
MAP_00282,Senior Data Engineer,Kafka,0.84,Advanced
MAP_00283,Engineering Manager,PyTorch,0.92,Advanced
MAP_00284,Engineering Manager,NLP,0.85,Advanced
MAP_00285,Engineering Manager,JavaScript,0.75,Beginner
MAP_00286,Engineering Manager,Application Security,0.7,Beginner
MAP_00287,Senior Frontend Engineer,ISO 27001,0.88,Beginner
MAP_00288,Senior Frontend Engineer,Apache Spark,0.6,Advanced
MAP_00289,Senior Frontend Engineer,Linux,0.86,Beginner
MAP_00290,Infrastructure Engineer,SQL,0.91,Beginner
MAP_00291,Infrastructure Engineer,GitLab CI,0.98,Advanced
MAP_00292,Infrastructure Engineer,Tailwind CSS,0.78,Beginner
MAP_00293,Data Engineer,Webpack,0.91,Beginner
MAP_00294,Data Engineer,React Testing Library,0.8,Advanced
MAP_00295,Senior Machine Learning Engineer,Hive,0.62,Advanced
MAP_00296,Senior Machine Learning Engineer,Power BI,0.63,Beginner
MAP_00297,Senior Machine Learning Engineer,RESTful APIs,0.93,Advanced
MAP_00298,Security Architect,Feature Engineering,0.67,Intermediate
MAP_00299,Security Architect,OAuth,0.87,Intermediate
MAP_00300,Security Architect,Cloud Architecture,0.83,Intermediate
MAP_00301,Incident Response Engineer,Python,0.93,Advanced
MAP_00302,Incident Response Engineer,Kafka,0.67,Beginner
MAP_00303,Test Architect,BERT,0.83,Intermediate
MAP_00304,Test Architect,GitHub Actions,0.78,Beginner
MAP_00305,Test Architect,Logging,0.78,Advanced
MAP_00306,Test Architect,Nuxt.js,0.9,Intermediate
MAP_00307,Database Administrator,Transformers,0.92,Advanced
MAP_00308,Database Administrator,Infrastructure as Code,0.99,Advanced
MAP_00309,Big Data Engineer,Django,0.7,Intermediate
MAP_00310,Big Data Engineer,Responsive Design,0.71,Advanced
MAP_00311,Big Data Engineer,Nuxt.js,0.96,Intermediate
MAP_00312,Senior Backend Engineer,Google Cloud Platform,0.61,Intermediate
MAP_00313,Senior Backend Engineer,Big Data,0.65,Beginner
MAP_00314,AWS Solutions Architect,ETL,0.61,Intermediate
MAP_00315,AWS Solutions Architect,Model Evaluation,0.83,Intermediate
MAP_00316,AWS Solutions Architect,Network Security,0.96,Beginner
MAP_00317,Cloud Security Engineer,Feature Engineering,0.62,Beginner
MAP_00318,Cloud Security Engineer,Team Collaboration,0.71,Intermediate
MAP_00319,Cloud Security Engineer,Project Management,0.84,Advanced
MAP_00320,Senior Machine Learning Engineer,Adaptability,0.99,Advanced
MAP_00321,Senior Machine Learning Engineer,OWASP,0.99,Beginner
MAP_00322,Machine Learning Engineer,CI/CD,0.86,Intermediate
MAP_00323,Machine Learning Engineer,Critical Thinking,0.72,Beginner
MAP_00324,Machine Learning Engineer,GitHub Actions,0.75,Advanced
MAP_00325,Automation Engineer,AWS,0.95,Beginner
MAP_00326,Automation Engineer,Load Balancing,0.6,Beginner
MAP_00327,Automation Engineer,Node.js,0.88,Intermediate
MAP_00328,Cloud Architect,Authentication,0.97,Intermediate
MAP_00329,Cloud Architect,Google Cloud Platform,1.0,Beginner
MAP_00330,Senior Backend Engineer,Deep Learning,0.72,Advanced
MAP_00331,Senior Backend Engineer,HTML/CSS,0.66,Intermediate
MAP_00332,Senior Backend Engineer,Cost Optimization,0.98,Advanced
MAP_00333,Senior Data Scientist,Microservices,0.89,Advanced
MAP_00334,Senior Data Scientist,Service Mesh,0.75,Advanced
MAP_00335,Senior Data Scientist,OAuth,0.93,Advanced
MAP_00336,Site Reliability Engineer,Neural Networks,0.84,Advanced
MAP_00337,Site Reliability Engineer,Cloud Architecture,0.66,Advanced
MAP_00338,Site Reliability Engineer,Apache Flink,0.66,Beginner
MAP_00339,Site Reliability Engineer,DevOps,1.0,Advanced
MAP_00340,AWS Solutions Architect,Linux,0.96,Advanced
MAP_00341,AWS Solutions Architect,Agile/Scrum,0.98,Intermediate
MAP_00342,AWS Solutions Architect,React,0.71,Advanced
MAP_00343,AWS Solutions Architect,Negotiation,0.92,Advanced
MAP_00344,Senior Machine Learning Engineer,DevOps,0.89,Intermediate
MAP_00345,Senior Machine Learning Engineer,Nuxt.js,0.82,Advanced
MAP_00346,Senior Machine Learning Engineer,Presto,0.9,Intermediate
MAP_00347,Senior Machine Learning Engineer,Security Architecture,0.76,Advanced
MAP_00348,Senior Machine Learning Engineer,Microservices,0.67,Beginner
MAP_00349,Senior Machine Learning Engineer,HTML/CSS,0.82,Beginner
MAP_00350,Senior Machine Learning Engineer,Service Mesh,0.65,Advanced
MAP_00351,Senior Machine Learning Engineer,Python Scripting,0.82,Advanced
MAP_00352,Data Scientist,Feature Engineering,0.69,Advanced
MAP_00353,Data Scientist,DevOps,0.86,Beginner
MAP_00354,Data Scientist,Bash,0.89,Intermediate
MAP_00355,Data Scientist,GitLab CI,0.62,Advanced
MAP_00356,Senior DevOps Engineer,GitLab CI,0.87,Intermediate
MAP_00357,Senior DevOps Engineer,Zustand,0.93,Intermediate
MAP_00358,Senior DevOps Engineer,OWASP,0.66,Beginner
MAP_00359,Senior Backend Engineer,Power BI,0.73,Intermediate
MAP_00360,Senior Backend Engineer,Python,0.88,Advanced
MAP_00361,Senior Backend Engineer,NLP,0.93,Intermediate
MAP_00362,Senior Backend Engineer,Presto,0.76,Intermediate
MAP_00363,NLP Engineer,Presto,0.82,Intermediate
MAP_00364,NLP Engineer,OAuth,0.85,Advanced
MAP_00365,Frontend Engineer,Node.js,0.93,Intermediate
MAP_00366,Frontend Engineer,Data Science,0.68,Intermediate
MAP_00367,Frontend Engineer,Incident Response,0.68,Advanced
MAP_00368,Frontend Engineer,Data Warehouse,0.82,Advanced
MAP_00369,ML Ops Engineer,Data Science,0.77,Advanced
MAP_00370,ML Ops Engineer,Cloud Security,0.75,Advanced
MAP_00371,ML Ops Engineer,Stream Processing,0.64,Beginner
MAP_00372,DevOps Engineer,Material UI,0.79,Advanced
MAP_00373,DevOps Engineer,Apache Spark,0.62,Advanced
MAP_00374,DevOps Engineer,Hive,0.81,Beginner
MAP_00375,DevOps Engineer,Logging,0.78,Advanced
MAP_00376,Senior Data Scientist,Configuration Management,0.85,Beginner
MAP_00377,Senior Data Scientist,Responsive Design,0.83,Beginner
MAP_00378,Senior Data Scientist,Rust,0.69,Advanced
MAP_00379,Senior Data Scientist,Elasticsearch,0.99,Intermediate
MAP_00380,Senior Backend Engineer,ELK Stack,0.8,Intermediate
MAP_00381,Senior Backend Engineer,DevOps,0.74,Advanced
MAP_00382,Senior Security Engineer,Monitoring Tools,0.67,Advanced
MAP_00383,Senior Security Engineer,Team Collaboration,0.83,Beginner
MAP_00384,Senior Security Engineer,Elasticsearch,0.95,Intermediate
MAP_00385,Senior Security Engineer,GPT,0.87,Advanced
MAP_00386,Full Stack Developer,Critical Thinking,0.87,Beginner
MAP_00387,Full Stack Developer,Apache Flink,0.69,Intermediate
MAP_00388,Full Stack Developer,Message Queues,0.88,Intermediate
MAP_00389,Full Stack Developer,Terraform,0.85,Advanced
MAP_00390,Mobile Engineer,Authorization,0.79,Intermediate
MAP_00391,Mobile Engineer,Session Management,0.73,Beginner
MAP_00392,Senior DevOps Engineer,DevOps,0.86,Intermediate
MAP_00393,Senior DevOps Engineer,Power BI,0.75,Beginner
MAP_00394,Software Architect,Prometheus,0.79,Advanced
MAP_00395,Software Architect,JWT,0.6,Intermediate
MAP_00396,Software Architect,Communication,0.7,Beginner
MAP_00397,Director of Engineering,Penetration Testing,0.69,Advanced
MAP_00398,Director of Engineering,Application Security,0.93,Intermediate
MAP_00399,Director of Engineering,React Testing Library,0.85,Intermediate
MAP_00400,Director of Engineering,Python,0.86,Beginner
MAP_00401,Software Architect,Transformers,0.61,Advanced
MAP_00402,Software Architect,Material UI,0.76,Advanced
MAP_00403,Software Architect,Monitoring,0.73,Intermediate
MAP_00404,Software Architect,JavaScript,0.61,Intermediate
MAP_00405,Big Data Engineer,JWT,0.87,Advanced
MAP_00406,Big Data Engineer,Threat Modeling,0.83,Advanced
MAP_00407,Big Data Engineer,Apache Spark,0.78,Beginner
MAP_00408,Big Data Engineer,Neural Networks,0.92,Advanced
MAP_00409,Cloud Security Engineer,Penetration Testing,0.99,Intermediate
MAP_00410,Cloud Security Engineer,OWASP,0.86,Advanced
MAP_00411,Site Reliability Engineer,Security Compliance,0.87,Beginner
MAP_00412,Site Reliability Engineer,Angular,0.81,Advanced
MAP_00413,Site Reliability Engineer,Go,0.64,Beginner
MAP_00414,Site Reliability Engineer,SSL/TLS,0.63,Advanced
MAP_00415,Application Security Engineer,Load Balancing,0.98,Advanced
MAP_00416,Application Security Engineer,Vite,0.78,Advanced
MAP_00417,Application Security Engineer,Critical Thinking,0.86,Advanced
MAP_00418,Senior Machine Learning Engineer,JWT,0.61,Advanced
MAP_00419,Senior Machine Learning Engineer,SSL/TLS,0.94,Beginner
MAP_00420,Senior Machine Learning Engineer,RESTful APIs,0.71,Beginner
MAP_00421,Senior Machine Learning Engineer,ELK Stack,0.84,Advanced
MAP_00422,Kubernetes Engineer,SSL/TLS,0.79,Intermediate
MAP_00423,Kubernetes Engineer,Container Orchestration,0.99,Advanced
MAP_00424,Infrastructure Engineer,Keras,0.87,Intermediate
MAP_00425,Infrastructure Engineer,Security Architecture,0.95,Advanced
MAP_00426,Infrastructure Engineer,JavaScript,0.81,Advanced
MAP_00427,Full Stack Developer,Vite,0.92,Beginner
MAP_00428,Full Stack Developer,Team Collaboration,0.81,Beginner
MAP_00429,Full Stack Developer,Hadoop,0.8,Beginner
MAP_00430,Full Stack Developer,Redis,0.64,Advanced
MAP_00431,Director of Engineering,TypeScript,0.73,Intermediate
MAP_00432,Director of Engineering,Logging,0.73,Beginner
MAP_00433,Test Architect,Security Compliance,0.9,Beginner
MAP_00434,Test Architect,Message Queues,0.99,Beginner
MAP_00435,AWS Solutions Architect,Neural Networks,0.9,Beginner
MAP_00436,AWS Solutions Architect,Data Warehouse,0.84,Beginner
MAP_00437,AWS Solutions Architect,Observability,0.85,Intermediate
MAP_00438,Frontend Engineer,Scikit-learn,0.91,Beginner
MAP_00439,Frontend Engineer,Grafana,0.77,Beginner
MAP_00440,Incident Response Engineer,BERT,0.98,Advanced
MAP_00441,Incident Response Engineer,Neural Networks,0.76,Intermediate
MAP_00442,Incident Response Engineer,Linux,0.81,Intermediate
MAP_00443,Incident Response Engineer,PyTorch,0.74,Advanced
