skill_id,skill_name,category,subcategory,difficulty,related_skills,demand_score
SK_00053,Terraform,Cloud & Infrastructure,General,Advanced,,6.2
SK_00054,Statistics,AI/ML,General,Advanced,,6.44
SK_00055,Load Balancing,Cloud & Infrastructure,General,Advanced,,6.92
SK_00056,Auto Scaling,Cloud & Infrastructure,General,Advanced,,6.35
SK_00057,SRE,DevOps,General,Advanced,,6.42
SK_00058,Container Orchestration,DevOps,General,Advanced,,7.25
SK_00059,Tailwind CSS,Web Frontend,General,Advanced,,6.63
SK_00060,Incident Response,Security,General,Advanced,,7.93
SK_00061,React Testing Library,Web Frontend,General,Intermediate,,9.93
SK_00062,Data Pipeline,Data,General,Advanced,,7.47
SK_00063,Node.js,Web Backend,General,Advanced,,6.28
SK_00064,Power BI,Data,General,Advanced,,7.22
SK_00065,Computer Vision,AI/ML,General,Advanced,,6.22
SK_00066,Logging,Cloud & Infrastructure,General,Advanced,,7.01
SK_00067,Webpack,Web Frontend,General,Advanced,,6.11
SK_00068,Google Cloud Platform,Web Backend,General,Advanced,,6.34
SK_00069,JavaScript,Web Frontend,General,Advanced,,9.39
SK_00070,Agile/Scrum,Soft Skills,General,Advanced,,7.6
SK_00071,Neural Networks,AI/ML,General,Advanced,,7.36
SK_00072,Transformers,AI/ML,General,Advanced,,6.71
SK_00073,Django,Web Backend,General,Advanced,,7.9
SK_00074,SSL/TLS,Security,General,Advanced,,7.91
SK_00075,Project Management,Soft Skills,General,Advanced,,7.25
SK_00076,JWT,Security,General,Advanced,,6.41
SK_00077,Rust,Web Backend,General,Advanced,,7.64
SK_00078,BERT,AI/ML,General,Advanced,,6.61
SK_00079,Go,Web Backend,General,Advanced,,7.04
SK_00080,Machine Learning,AI/ML,General,Advanced,,7.84
SK_00081,Material UI,Web Frontend,General,Advanced,,6.28
SK_00082,Message Queues,Web Backend,General,Advanced,,7.61
SK_00083,GDPR,Security,General,Advanced,,6.3
SK_00084,HTML/CSS,Web Frontend,General,Advanced,,8.56
SK_00085,Java,Web Backend,General,Advanced,,6.74
SK_00086,GPT,AI/ML,General,Advanced,,6.57
SK_00087,Cloud Architecture,Cloud & Infrastructure,General,Advanced,,7.83
SK_00088,Critical Thinking,Soft Skills,General,Advanced,,6.34
SK_00089,Keras,AI/ML,General,Advanced,,7.38
SK_00090,Tableau,Data,General,Advanced,,6.42
SK_00091,Vue.js,Web Frontend,General,Advanced,,6.52
SK_00092,Jest,Web Frontend,General,Advanced,,6.53
SK_00093,Penetration Testing,Security,General,Advanced,,6.19
SK_00094,RESTful APIs,Web Backend,General,Advanced,,6.06
SK_00095,Data Visualization,Data,General,Advanced,,6.08
SK_00096,Big Data,Data,General,Advanced,,6.61
SK_00097,Redis,Web Backend,General,Advanced,,6.7
SK_00098,Scikit-learn,AI/ML,General,Advanced,,7.3
SK_00099,Application Security,Security,General,Advanced,,7.15
SK_00100,Monitoring Tools,Cloud & Infrastructure,General,Advanced,,6.9
SK_00101,Bash,DevOps,General,Advanced,,7.39
SK_00102,GitHub Actions,Cloud & Infrastructure,General,Beginner,,7.91
SK_00103,Redux,Web Frontend,General,Advanced,,6.86
SK_00104,AWS,Cloud & Infrastructure,General,Advanced,,9.2
SK_00105,Vulnerability Assessment,Security,General,Advanced,,7.68
SK_00106,ETL,Data,General,Advanced,,7.73
SK_00107,Threat Modeling,Security,General,Advanced,,7.74
SK_00108,SQL,Data,General,Intermediate,,6.87
SK_00109,GraphQL,Web Backend,General,Advanced,,6.37
SK_00110,Infrastructure Automation,DevOps,General,Advanced,,7.44
SK_00111,Cloud Security,Security,General,Advanced,,7.47
SK_00112,Negotiation,Web Backend,General,Advanced,,7.32
SK_00113,MongoDB,Web Backend,General,Advanced,,7.72
SK_00114,Python,AI/ML,General,Intermediate,,9.68
SK_00115,Apache Spark,Data,General,Advanced,,6.25
SK_00116,TypeScript,Web Frontend,General,Advanced,,6.58
SK_00117,Network Security,Security,General,Advanced,,7.56
SK_00118,Python Scripting,AI/ML,General,Intermediate,,9.04
SK_00119,Data Warehouse,Data,General,Advanced,,6.13
SK_00120,Configuration Management,DevOps,General,Advanced,,7.51
SK_00121,Kafka,Data,General,Advanced,,7.32
SK_00122,Hive,Data,General,Advanced,,7.47
SK_00123,Jenkins,Cloud & Infrastructure,General,Advanced,,7.89
SK_00124,Hyperparameter Tuning,AI/ML,General,Advanced,,7.9
SK_00125,API Gateway,DevOps,General,Advanced,,7.37
SK_00126,Nuxt.js,Web Frontend,General,Advanced,,6.45
SK_00127,Feature Engineering,AI/ML,General,Advanced,,7.28
SK_00128,SOC 2,Security,General,Advanced,,7.45
SK_00129,Reinforcement Learning,AI/ML,General,Advanced,,6.17
SK_00130,Problem Solving,Soft Skills,General,Advanced,,7.88
SK_00131,Bootstrap,Web Frontend,General,Advanced,,6.2
SK_00132,Time Management,Soft Skills,General,Advanced,,7.94
SK_00133,Cost Optimization,Cloud & Infrastructure,General,Advanced,,6.65
SK_00134,Leadership,Soft Skills,General,Advanced,,6.35
SK_00135,PostgreSQL,Web Backend,General,Intermediate,,7.49
SK_00136,Svelte,Web Frontend,General,Advanced,,7.41
SK_00137,Data Science,AI/ML,General,Advanced,,6.41
SK_00138,Prometheus,DevOps,General,Advanced,,6.65
SK_00139,Azure,Cloud & Infrastructure,General,Advanced,,6.96
SK_00140,Presto,Data,General,Advanced,,6.13
SK_00141,Cryptography (Advanced),Security,General,Advanced,,7.61
SK_00142,Cryptography (Senior),Security,General,Advanced,,7.92
SK_00143,Cryptography (Junior),Security,General,Advanced,,6.14
SK_00144,Cryptography (Expert),Security,General,Advanced,,7.08
SK_00145,Cryptography (Intermediate),Security,General,Advanced,,6.62
SK_00146,ISO 27001 (Advanced),Security,General,Advanced,,7.34
SK_00147,ISO 27001 (Senior),Security,General,Advanced,,6.56
SK_00148,ISO 27001 (Junior),Security,General,Advanced,,7.61
SK_00149,ISO 27001 (Expert),Security,General,Advanced,,6.34
SK_00150,ISO 27001 (Intermediate),Security,General,Advanced,,6.22
SK_00151,Authorization (Advanced),Web Backend,General,Advanced,,7.12
SK_00152,Authorization (Senior),Web Backend,General,Advanced,,6.14
SK_00153,Authorization (Junior),Web Backend,General,Advanced,,6.54
SK_00154,Authorization (Expert),Web Backend,General,Advanced,,7.18
SK_00155,Authorization (Intermediate),Web Backend,General,Advanced,,7.4
SK_00156,GitLab CI (Advanced),Cloud & Infrastructure,General,Beginner,,6.29
SK_00157,GitLab CI (Senior),Cloud & Infrastructure,General,Beginner,,7.51
SK_00158,GitLab CI (Junior),Cloud & Infrastructure,General,Beginner,,6.4
SK_00159,GitLab CI (Expert),Cloud & Infrastructure,General,Beginner,,6.9
SK_00160,GitLab CI (Intermediate),Cloud & Infrastructure,General,Beginner,,6.65
SK_00161,React (Advanced),Web Frontend,General,Intermediate,,9.64
SK_00162,React (Senior),Web Frontend,General,Intermediate,,9.2
SK_00163,React (Junior),Web Frontend,General,Intermediate,,9.27
SK_00164,React (Expert),Web Frontend,General,Intermediate,,9.85
SK_00165,React (Intermediate),Web Frontend,General,Intermediate,,9.7
SK_00166,NLP (Advanced),AI/ML,General,Advanced,,7.18
SK_00167,NLP (Senior),AI/ML,General,Advanced,,6.76
SK_00168,NLP (Junior),AI/ML,General,Advanced,,6.18
SK_00169,NLP (Expert),AI/ML,General,Advanced,,7.96
SK_00170,NLP (Intermediate),AI/ML,General,Advanced,,6.6
SK_00171,Database Management (Advanced),Cloud & Infrastructure,General,Advanced,,7.23
SK_00172,Database Management (Senior),Cloud & Infrastructure,General,Advanced,,6.26
SK_00173,Database Management (Junior),Cloud & Infrastructure,General,Advanced,,7.74
SK_00174,Database Management (Expert),Cloud & Infrastructure,General,Advanced,,7.52
SK_00175,Database Management (Intermediate),Cloud & Infrastructure,General,Advanced,,7.63
SK_00176,Apache Flink (Advanced),Data,General,Advanced,,7.69
SK_00177,Apache Flink (Senior),Data,General,Advanced,,7.01
SK_00178,Apache Flink (Junior),Data,General,Advanced,,7.63
SK_00179,Apache Flink (Expert),Data,General,Advanced,,6.48
SK_00180,Apache Flink (Intermediate),Data,General,Advanced,,7.04
SK_00181,PyTorch (Advanced),AI/ML,General,Advanced,,7.54
SK_00182,PyTorch (Senior),AI/ML,General,Advanced,,6.56
SK_00183,PyTorch (Junior),AI/ML,General,Advanced,,7.82
SK_00184,PyTorch (Expert),AI/ML,General,Advanced,,6.15
SK_00185,PyTorch (Intermediate),AI/ML,General,Advanced,,7.15
SK_00186,Performance Optimization (Advanced),Web Frontend,General,Advanced,,7.4
SK_00187,Performance Optimization (Senior),Web Frontend,General,Advanced,,6.76
SK_00188,Performance Optimization (Junior),Web Frontend,General,Advanced,,6.8
SK_00189,Performance Optimization (Expert),Web Frontend,General,Advanced,,7.68
SK_00190,Performance Optimization (Intermediate),Web Frontend,General,Advanced,,6.88
SK_00191,Docker (Advanced),Cloud & Infrastructure,General,Advanced,,9.17
SK_00192,Docker (Senior),Cloud & Infrastructure,General,Advanced,,9.53
SK_00193,Docker (Junior),Cloud & Infrastructure,General,Advanced,,8.81
SK_00194,Docker (Expert),Cloud & Infrastructure,General,Advanced,,9.57
SK_00195,Docker (Intermediate),Cloud & Infrastructure,General,Advanced,,9.22
SK_00196,Adaptability (Advanced),Soft Skills,General,Advanced,,7.68
SK_00197,Adaptability (Senior),Soft Skills,General,Advanced,,7.63
SK_00198,Adaptability (Junior),Soft Skills,General,Advanced,,7.61
SK_00199,Adaptability (Expert),Soft Skills,General,Advanced,,6.82
SK_00200,Adaptability (Intermediate),Soft Skills,General,Advanced,,6.8
SK_00201,Microservices (Advanced),Web Backend,General,Advanced,,6.81
SK_00202,Microservices (Senior),Web Backend,General,Advanced,,6.37
SK_00203,Microservices (Junior),Web Backend,General,Advanced,,6.11
SK_00204,Microservices (Expert),Web Backend,General,Advanced,,6.78
SK_00205,Microservices (Intermediate),Web Backend,General,Advanced,,7.82
SK_00206,Team Collaboration (Advanced),Soft Skills,General,Advanced,,8.0
SK_00207,Team Collaboration (Senior),Soft Skills,General,Advanced,,7.16
SK_00208,Team Collaboration (Junior),Soft Skills,General,Advanced,,7.74
SK_00209,Team Collaboration (Expert),Soft Skills,General,Advanced,,6.32
SK_00210,Team Collaboration (Intermediate),Soft Skills,General,Advanced,,6.5
SK_00211,Stream Processing (Advanced),Data,General,Advanced,,7.68
SK_00212,Stream Processing (Senior),Data,General,Advanced,,6.41
SK_00213,Stream Processing (Junior),Data,General,Advanced,,7.34
SK_00214,Stream Processing (Expert),Data,General,Advanced,,7.02
SK_00215,Stream Processing (Intermediate),Data,General,Advanced,,6.48
SK_00216,Observability (Advanced),Cloud & Infrastructure,General,Advanced,,7.86
SK_00217,Observability (Senior),Cloud & Infrastructure,General,Advanced,,6.23
SK_00218,Observability (Junior),Cloud & Infrastructure,General,Advanced,,6.55
SK_00219,Observability (Expert),Cloud & Infrastructure,General,Advanced,,6.56
SK_00220,Observability (Intermediate),Cloud & Infrastructure,General,Advanced,,7.62
SK_00221,Security Compliance (Advanced),Security,General,Advanced,,7.19
SK_00222,Security Compliance (Senior),Security,General,Advanced,,7.97
SK_00223,Security Compliance (Junior),Security,General,Advanced,,7.12
SK_00224,Security Compliance (Expert),Security,General,Advanced,,7.06
SK_00225,Security Compliance (Intermediate),Security,General,Advanced,,8.0
SK_00226,Mentoring (Advanced),Soft Skills,General,Advanced,,7.86
SK_00227,Mentoring (Senior),Soft Skills,General,Advanced,,7.29
SK_00228,Mentoring (Junior),Soft Skills,General,Advanced,,6.03
SK_00229,Mentoring (Expert),Soft Skills,General,Advanced,,6.92
SK_00230,Mentoring (Intermediate),Soft Skills,General,Advanced,,6.26
SK_00231,TensorFlow (Advanced),AI/ML,General,Advanced,,9.05
SK_00232,TensorFlow (Senior),AI/ML,General,Advanced,,9.6
SK_00233,TensorFlow (Junior),AI/ML,General,Advanced,,8.87
SK_00234,TensorFlow (Expert),AI/ML,General,Advanced,,9.37
SK_00235,TensorFlow (Intermediate),AI/ML,General,Advanced,,8.54
SK_00236,Hadoop (Advanced),Data,General,Advanced,,6.75
SK_00237,Hadoop (Senior),Data,General,Advanced,,6.19
SK_00238,Hadoop (Junior),Data,General,Advanced,,6.36
SK_00239,Hadoop (Expert),Data,General,Advanced,,6.08
SK_00240,Hadoop (Intermediate),Data,General,Advanced,,6.35
SK_00241,Angular (Advanced),Web Frontend,General,Advanced,,7.63
SK_00242,Angular (Senior),Web Frontend,General,Advanced,,6.51
SK_00243,Angular (Junior),Web Frontend,General,Advanced,,6.63
SK_00244,Angular (Expert),Web Frontend,General,Advanced,,7.75
SK_00245,Angular (Intermediate),Web Frontend,General,Advanced,,6.26
SK_00246,Monitoring (Advanced),Cloud & Infrastructure,General,Advanced,,6.92
SK_00247,Monitoring (Senior),Cloud & Infrastructure,General,Advanced,,7.86
SK_00248,Monitoring (Junior),Cloud & Infrastructure,General,Advanced,,7.32
SK_00249,Monitoring (Expert),Cloud & Infrastructure,General,Advanced,,7.39
SK_00250,Monitoring (Intermediate),Cloud & Infrastructure,General,Advanced,,7.68
SK_00251,Express (Advanced),Web Backend,General,Advanced,,7.77
SK_00252,Express (Senior),Web Backend,General,Advanced,,6.86
SK_00253,Express (Junior),Web Backend,General,Advanced,,7.26
SK_00254,Express (Expert),Web Backend,General,Advanced,,6.07
SK_00255,Express (Intermediate),Web Backend,General,Advanced,,7.15
SK_00256,Vite (Advanced),Web Frontend,General,Advanced,,6.3
SK_00257,Vite (Senior),Web Frontend,General,Advanced,,6.05
SK_00258,Vite (Junior),Web Frontend,General,Advanced,,7.77
SK_00259,Vite (Expert),Web Frontend,General,Advanced,,6.23
SK_00260,Vite (Intermediate),Web Frontend,General,Advanced,,6.33
SK_00261,Service Mesh (Advanced),DevOps,General,Advanced,,6.02
SK_00262,Service Mesh (Senior),DevOps,General,Advanced,,7.2
SK_00263,Service Mesh (Junior),DevOps,General,Advanced,,6.21
SK_00264,Service Mesh (Expert),DevOps,General,Advanced,,7.19
SK_00265,Service Mesh (Intermediate),DevOps,General,Advanced,,7.52
SK_00266,Kubernetes (Advanced),Cloud & Infrastructure,General,Advanced,,8.69
SK_00267,Kubernetes (Senior),Cloud & Infrastructure,General,Advanced,,8.62
SK_00268,Kubernetes (Junior),Cloud & Infrastructure,General,Advanced,,8.93
SK_00269,Kubernetes (Expert),Cloud & Infrastructure,General,Advanced,,9.47
SK_00270,Kubernetes (Intermediate),Cloud & Infrastructure,General,Advanced,,9.09
SK_00271,Communication (Advanced),Soft Skills,General,Advanced,,7.17
SK_00272,Communication (Senior),Soft Skills,General,Advanced,,7.93
SK_00273,Communication (Junior),Soft Skills,General,Advanced,,6.82
SK_00274,Communication (Expert),Soft Skills,General,Advanced,,6.6
SK_00275,Communication (Intermediate),Soft Skills,General,Advanced,,6.38
SK_00276,Deep Learning (Advanced),AI/ML,General,Advanced,,6.6
SK_00277,Deep Learning (Senior),AI/ML,General,Advanced,,7.38
SK_00278,Deep Learning (Junior),AI/ML,General,Advanced,,6.61
SK_00279,Deep Learning (Expert),AI/ML,General,Advanced,,6.18
SK_00280,Deep Learning (Intermediate),AI/ML,General,Advanced,,7.81
SK_00281,Authentication (Advanced),Web Backend,General,Advanced,,7.26
SK_00282,Authentication (Senior),Web Backend,General,Advanced,,6.72
SK_00283,Authentication (Junior),Web Backend,General,Advanced,,7.57
SK_00284,Authentication (Expert),Web Backend,General,Advanced,,6.01
SK_00285,Authentication (Intermediate),Web Backend,General,Advanced,,7.85
SK_00286,Elasticsearch (Advanced),Web Backend,General,Advanced,,6.24
SK_00287,Elasticsearch (Senior),Web Backend,General,Advanced,,6.45
SK_00288,Elasticsearch (Junior),Web Backend,General,Advanced,,7.89
SK_00289,Elasticsearch (Expert),Web Backend,General,Advanced,,7.52
SK_00290,Elasticsearch (Intermediate),Web Backend,General,Advanced,,6.79
SK_00291,Security Architecture (Advanced),Security,General,Advanced,,6.57
SK_00292,Security Architecture (Senior),Security,General,Advanced,,6.41
SK_00293,Security Architecture (Junior),Security,General,Advanced,,7.27
SK_00294,Security Architecture (Expert),Security,General,Advanced,,7.53
SK_00295,Security Architecture (Intermediate),Security,General,Advanced,,6.01
SK_00296,Linux (Advanced),DevOps,General,Advanced,,6.31
SK_00297,Linux (Senior),DevOps,General,Advanced,,7.78
SK_00298,Linux (Junior),DevOps,General,Advanced,,7.01
SK_00299,Linux (Expert),DevOps,General,Advanced,,6.58
SK_00300,Linux (Intermediate),DevOps,General,Advanced,,7.76
SK_00301,MySQL (Advanced),Web Backend,General,Intermediate,,6.57
SK_00302,MySQL (Senior),Web Backend,General,Intermediate,,7.82
SK_00303,MySQL (Junior),Web Backend,General,Intermediate,,7.63
SK_00304,MySQL (Expert),Web Backend,General,Intermediate,,6.42
SK_00305,MySQL (Intermediate),Web Backend,General,Intermediate,,6.67
SK_00306,Web Accessibility (Advanced),Web Frontend,General,Advanced,,7.93
SK_00307,Web Accessibility (Senior),Web Frontend,General,Advanced,,6.71
SK_00308,Web Accessibility (Junior),Web Frontend,General,Advanced,,7.62
SK_00309,Web Accessibility (Expert),Web Frontend,General,Advanced,,7.63
SK_00310,Web Accessibility (Intermediate),Web Frontend,General,Advanced,,6.42
SK_00311,LLM (Advanced),AI/ML,General,Advanced,,7.53
SK_00312,LLM (Senior),AI/ML,General,Advanced,,7.13
SK_00313,LLM (Junior),AI/ML,General,Advanced,,6.62
SK_00314,LLM (Expert),AI/ML,General,Advanced,,7.79
SK_00315,LLM (Intermediate),AI/ML,General,Advanced,,7.14
SK_00316,Zustand (Advanced),Web Frontend,General,Advanced,,6.75
SK_00317,Zustand (Senior),Web Frontend,General,Advanced,,7.32
SK_00318,Zustand (Junior),Web Frontend,General,Advanced,,7.29
SK_00319,Zustand (Expert),Web Frontend,General,Advanced,,7.3
SK_00320,Zustand (Intermediate),Web Frontend,General,Advanced,,6.53
SK_00321,Looker (Advanced),Data,General,Advanced,,6.74
SK_00322,Looker (Senior),Data,General,Advanced,,6.36
SK_00323,Looker (Junior),Data,General,Advanced,,7.57
SK_00324,Looker (Expert),Data,General,Advanced,,6.29
SK_00325,Looker (Intermediate),Data,General,Advanced,,6.57
SK_00326,Next.js (Advanced),Web Frontend,General,Advanced,,7.24
SK_00327,Next.js (Senior),Web Frontend,General,Advanced,,7.9
SK_00328,Next.js (Junior),Web Frontend,General,Advanced,,7.32
SK_00329,Next.js (Expert),Web Frontend,General,Advanced,,6.94
SK_00330,Next.js (Intermediate),Web Frontend,General,Advanced,,6.82
SK_00331,OAuth (Advanced),Security,General,Advanced,,6.94
SK_00332,OAuth (Senior),Security,General,Advanced,,6.64
SK_00333,OAuth (Junior),Security,General,Advanced,,7.68
SK_00334,OAuth (Expert),Security,General,Advanced,,7.9
SK_00335,OAuth (Intermediate),Security,General,Advanced,,7.32
SK_00336,Infrastructure as Code (Advanced),Cloud & Infrastructure,General,Advanced,,7.87
SK_00337,Infrastructure as Code (Senior),Cloud & Infrastructure,General,Advanced,,7.99
SK_00338,Infrastructure as Code (Junior),Cloud & Infrastructure,General,Advanced,,7.29
SK_00339,Infrastructure as Code (Expert),Cloud & Infrastructure,General,Advanced,,7.06
SK_00340,Infrastructure as Code (Intermediate),Cloud & Infrastructure,General,Advanced,,6.93
SK_00341,DevOps (Advanced),DevOps,General,Advanced,,7.87
SK_00342,DevOps (Senior),DevOps,General,Advanced,,6.98
SK_00343,DevOps (Junior),DevOps,General,Advanced,,6.89
SK_00344,DevOps (Expert),DevOps,General,Advanced,,7.11
SK_00345,DevOps (Intermediate),DevOps,General,Advanced,,6.33
SK_00346,Grafana (Advanced),DevOps,General,Advanced,,7.13
SK_00347,Grafana (Senior),DevOps,General,Advanced,,7.7
SK_00348,Grafana (Junior),DevOps,General,Advanced,,7.65
SK_00349,Grafana (Expert),DevOps,General,Advanced,,6.51
SK_00350,Grafana (Intermediate),DevOps,General,Advanced,,7.94
SK_00351,Responsive Design (Advanced),Web Frontend,General,Advanced,,6.12
SK_00352,Responsive Design (Senior),Web Frontend,General,Advanced,,6.63
SK_00353,Responsive Design (Junior),Web Frontend,General,Advanced,,6.03
SK_00354,Responsive Design (Expert),Web Frontend,General,Advanced,,6.14
SK_00355,Responsive Design (Intermediate),Web Frontend,General,Advanced,,6.63
SK_00356,Flask (Advanced),Web Backend,General,Advanced,,6.94
SK_00357,Flask (Senior),Web Backend,General,Advanced,,6.75
SK_00358,Flask (Junior),Web Backend,General,Advanced,,6.81
SK_00359,Flask (Expert),Web Backend,General,Advanced,,7.53
SK_00360,Flask (Intermediate),Web Backend,General,Advanced,,6.95
SK_00361,Model Evaluation (Advanced),AI/ML,General,Advanced,,6.95
SK_00362,Model Evaluation (Senior),AI/ML,General,Advanced,,7.3
SK_00363,Model Evaluation (Junior),AI/ML,General,Advanced,,7.85
SK_00364,Model Evaluation (Expert),AI/ML,General,Advanced,,6.46
SK_00365,Model Evaluation (Intermediate),AI/ML,General,Advanced,,7.95
SK_00366,Session Management (Advanced),Web Backend,General,Advanced,,7.62
SK_00367,Session Management (Senior),Web Backend,General,Advanced,,7.97
SK_00368,Session Management (Junior),Web Backend,General,Advanced,,7.48
SK_00369,Session Management (Expert),Web Backend,General,Advanced,,7.61
SK_00370,Session Management (Intermediate),Web Backend,General,Advanced,,6.6
SK_00371,CI/CD (Advanced),Cloud & Infrastructure,General,Advanced,,6.03
SK_00372,CI/CD (Senior),Cloud & Infrastructure,General,Advanced,,6.47
SK_00373,CI/CD (Junior),Cloud & Infrastructure,General,Advanced,,7.76
SK_00374,CI/CD (Expert),Cloud & Infrastructure,General,Advanced,,6.0
SK_00375,CI/CD (Intermediate),Cloud & Infrastructure,General,Advanced,,6.64
SK_00376,OWASP (Advanced),Security,General,Advanced,,7.54
SK_00377,OWASP (Senior),Security,General,Advanced,,6.5
SK_00378,OWASP (Junior),Security,General,Advanced,,7.1
SK_00379,OWASP (Expert),Security,General,Advanced,,7.16
SK_00380,OWASP (Intermediate),Security,General,Advanced,,7.92
SK_00381,ELK Stack (Advanced),DevOps,General,Advanced,,6.95
SK_00382,ELK Stack (Senior),DevOps,General,Advanced,,6.4
SK_00383,ELK Stack (Junior),DevOps,General,Advanced,,6.38
SK_00384,ELK Stack (Expert),DevOps,General,Advanced,,6.69
SK_00385,ELK Stack (Intermediate),DevOps,General,Advanced,,6.34
SK_00386,Probability (Advanced),AI/ML,General,Advanced,,7.11
SK_00387,Probability (Senior),AI/ML,General,Advanced,,7.25
SK_00388,Probability (Junior),AI/ML,General,Advanced,,6.54
SK_00389,Probability (Expert),AI/ML,General,Advanced,,6.39
SK_00390,Probability (Intermediate),AI/ML,General,Advanced,,7.8
SK_00391,Firewalls (Advanced),Security,General,Advanced,,6.34
SK_00392,Firewalls (Senior),Security,General,Advanced,,6.76
SK_00393,Firewalls (Junior),Security,General,Advanced,,6.32
SK_00394,Firewalls (Expert),Security,General,Advanced,,6.15
SK_00395,Firewalls (Intermediate),Security,General,Advanced,,7.78
SK_00396,FastAPI (Advanced),Web Backend,General,Advanced,,6.94
SK_00397,FastAPI (Senior),Web Backend,General,Advanced,,7.08
SK_00398,FastAPI (Junior),Web Backend,General,Advanced,,7.06
SK_00399,FastAPI (Expert),Web Backend,General,Advanced,,7.15
SK_00400,FastAPI (Intermediate),Web Backend,General,Advanced,,7.52
SK_00401,Terraform (Advanced),Cloud & Infrastructure,General,Advanced,,6.01
SK_00402,Terraform (Senior),Cloud & Infrastructure,General,Advanced,,6.59
SK_00403,Terraform (Junior),Cloud & Infrastructure,General,Advanced,,6.1
SK_00404,Terraform (Expert),Cloud & Infrastructure,General,Advanced,,6.79
SK_00405,Terraform (Intermediate),Cloud & Infrastructure,General,Advanced,,6.3
SK_00406,Statistics (Advanced),AI/ML,General,Advanced,,6.13
SK_00407,Statistics (Senior),AI/ML,General,Advanced,,6.83
SK_00408,Statistics (Junior),AI/ML,General,Advanced,,6.98
SK_00409,Statistics (Expert),AI/ML,General,Advanced,,7.4
SK_00410,Statistics (Intermediate),AI/ML,General,Advanced,,6.34
SK_00411,Load Balancing (Advanced),Cloud & Infrastructure,General,Advanced,,7.7
SK_00412,Load Balancing (Senior),Cloud & Infrastructure,General,Advanced,,6.86
SK_00413,Load Balancing (Junior),Cloud & Infrastructure,General,Advanced,,6.28
SK_00414,Load Balancing (Expert),Cloud & Infrastructure,General,Advanced,,6.98
SK_00415,Load Balancing (Intermediate),Cloud & Infrastructure,General,Advanced,,6.56
SK_00416,Auto Scaling (Advanced),Cloud & Infrastructure,General,Advanced,,6.26
