industry,job_title,level,years_of_experience,skills,certifications,ai_training_corpus
Cybersecurity,Cybersecurity Consultant,Entry,0,"['Firewalls', 'Ethical Hacking', 'SIEM', 'Malware Analysis']","['Certified Information Systems Security Professional (CISSP)', 'CompTIA Security+']","Job Title: Cybersecurity Consultant Job Title: Cybersecurity Consultant Job Title: Cybersecurity Consultant Career Level: Entry Career Level: Entry Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 0 years. Key Skills: Firewalls, Ethical Hacking, SIEM, Malware Analysis. Key Skills: Firewalls, Ethical Hacking, SIEM, Malware Analysis. Key Skills: Firewalls, Ethical Hacking, SIEM, Malware Analysis. Relevant Certifications: Certified Information Systems Security Professional (CISSP), CompTIA Security+. "
Cybersecurity,Penetration Tester,Entry,1,"['Network Security', 'Ethical Hacking', 'SIEM', 'Malware Analysis']",['Certified Ethical Hacker (CEH)'],"Job Title: Penetration Tester Job Title: Penetration Tester Job Title: Penetration Tester Career Level: Entry Career Level: Entry Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 1 years. Key Skills: Network Security, Ethical Hacking, SIEM, Malware Analysis. Key Skills: Network Security, Ethical Hacking, SIEM, Malware Analysis. Key Skills: Network Security, Ethical Hacking, SIEM, Malware Analysis. Relevant Certifications: Certified Ethical Hacker (CEH). "
Cybersecurity,Security Analyst,Mid-Level,3,"['Cryptography', 'ISO 27001', 'Network Security', 'Malware Analysis', 'Ethical Hacking', 'SIEM', 'Firewalls']",[],"Job Title: Security Analyst Job Title: Security Analyst Job Title: Security Analyst Career Level: Mid-Level Career Level: Mid-Level Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 3 years. Key Skills: Cryptography, ISO 27001, Network Security, Malware Analysis, Ethical Hacking, SIEM, Firewalls. Key Skills: Cryptography, ISO 27001, Network Security, Malware Analysis, Ethical Hacking, SIEM, Firewalls. Key Skills: Cryptography, ISO 27001, Network Security, Malware Analysis, Ethical Hacking, SIEM, Firewalls. "
Cloud Engineering,Cloud Engineer,Entry,2,"['Grafana', 'Ansible', 'Terraform', 'Azure', 'Jenkins', 'AWS', 'CI/CD']","['Certified Kubernetes Administrator (CKA)', 'Microsoft Certified: Azure Administrator', 'AWS Certified Solutions Architect', 'Google Certified Professional Cloud Architect']","Job Title: Cloud Engineer Job Title: Cloud Engineer Job Title: Cloud Engineer Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 2 years. Key Skills: Grafana, Ansible, Terraform, Azure, Jenkins, AWS, CI/CD. Key Skills: Grafana, Ansible, Terraform, Azure, Jenkins, AWS, CI/CD. Key Skills: Grafana, Ansible, Terraform, Azure, Jenkins, AWS, CI/CD. Relevant Certifications: Certified Kubernetes Administrator (CKA), Microsoft Certified: Azure Administrator, AWS Certified Solutions Architect, Google Certified Professional Cloud Architect. "
Cloud Engineering,Cloud Architect,Entry,1,"['Docker', 'GCP', 'Prometheus', 'Grafana']","['Microsoft Certified: Azure Administrator', 'AWS Certified Solutions Architect', 'Certified Kubernetes Administrator (CKA)', 'Google Certified Professional Cloud Architect']","Job Title: Cloud Architect Job Title: Cloud Architect Job Title: Cloud Architect Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 1 years. Key Skills: Docker, GCP, Prometheus, Grafana. Key Skills: Docker, GCP, Prometheus, Grafana. Key Skills: Docker, GCP, Prometheus, Grafana. Relevant Certifications: Microsoft Certified: Azure Administrator, AWS Certified Solutions Architect, Certified Kubernetes Administrator (CKA), Google Certified Professional Cloud Architect. "
Product Management,Director of Product,Entry,2,"['Product Strategy', 'User Research', 'Market Analysis', 'A/B Testing']","['Pragmatic Marketing Certified (PMC)', 'Certified Scrum Product Owner (CSPO)']","Job Title: Director of Product Job Title: Director of Product Job Title: Director of Product Career Level: Entry Career Level: Entry Industry: Product Management Industry: Product Management Years of Experience: approximately 2 years. Key Skills: Product Strategy, User Research, Market Analysis, A/B Testing. Key Skills: Product Strategy, User Research, Market Analysis, A/B Testing. Key Skills: Product Strategy, User Research, Market Analysis, A/B Testing. Relevant Certifications: Pragmatic Marketing Certified (PMC), Certified Scrum Product Owner (CSPO). "
Cybersecurity,Security Analyst,Mid-Level,5,"['Ethical Hacking', 'ISO 27001', 'Cryptography', 'Firewalls', 'Network Security', 'SIEM', 'Intrusion Detection', 'Malware Analysis']",[],"Job Title: Security Analyst Job Title: Security Analyst Job Title: Security Analyst Career Level: Mid-Level Career Level: Mid-Level Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 5 years. Key Skills: Ethical Hacking, ISO 27001, Cryptography, Firewalls, Network Security, SIEM, Intrusion Detection, Malware Analysis. Key Skills: Ethical Hacking, ISO 27001, Cryptography, Firewalls, Network Security, SIEM, Intrusion Detection, Malware Analysis. Key Skills: Ethical Hacking, ISO 27001, Cryptography, Firewalls, Network Security, SIEM, Intrusion Detection, Malware Analysis. "
Product Management,Senior Product Manager,Senior,5,"['User Research', 'Product Strategy', 'Roadmapping', 'Scrum', 'Market Analysis', 'A/B Testing', 'Agile']",[],"Job Title: Senior Product Manager Job Title: Senior Product Manager Job Title: Senior Product Manager Career Level: Senior Career Level: Senior Industry: Product Management Industry: Product Management Years of Experience: approximately 5 years. Key Skills: User Research, Product Strategy, Roadmapping, Scrum, Market Analysis, A/B Testing, Agile. Key Skills: User Research, Product Strategy, Roadmapping, Scrum, Market Analysis, A/B Testing, Agile. Key Skills: User Research, Product Strategy, Roadmapping, Scrum, Market Analysis, A/B Testing, Agile. "
Data Science,Lead Data Scientist,Senior,8,"['Pandas', 'Python', 'SQL', 'Data Mining', 'TensorFlow']",['Google Professional Data Engineer'],"Job Title: Lead Data Scientist Job Title: Lead Data Scientist Job Title: Lead Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 8 years. Key Skills: Pandas, Python, SQL, Data Mining, TensorFlow. Key Skills: Pandas, Python, SQL, Data Mining, TensorFlow. Key Skills: Pandas, Python, SQL, Data Mining, TensorFlow. Relevant Certifications: Google Professional Data Engineer. "
Software Engineering,Software Engineer,Entry,0,"['React', 'Docker', 'PostgreSQL', 'Microservices', 'Node.js', 'JavaScript', 'Java']",[],"Job Title: Software Engineer Job Title: Software Engineer Job Title: Software Engineer Career Level: Entry Career Level: Entry Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 0 years. Key Skills: React, Docker, PostgreSQL, Microservices, Node.js, JavaScript, Java. Key Skills: React, Docker, PostgreSQL, Microservices, Node.js, JavaScript, Java. Key Skills: React, Docker, PostgreSQL, Microservices, Node.js, JavaScript, Java. "
Cloud Engineering,DevOps Engineer,Mid-Level,5,"['Terraform', 'Prometheus', 'AWS', 'GCP']",[],"Job Title: DevOps Engineer Job Title: DevOps Engineer Job Title: DevOps Engineer Career Level: Mid-Level Career Level: Mid-Level Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 5 years. Key Skills: Terraform, Prometheus, AWS, GCP. Key Skills: Terraform, Prometheus, AWS, GCP. Key Skills: Terraform, Prometheus, AWS, GCP. "
Cloud Engineering,Site Reliability Engineer (SRE),Mid-Level,4,"['Ansible', 'Jenkins', 'Azure', 'Prometheus']",[],"Job Title: Site Reliability Engineer (SRE) Job Title: Site Reliability Engineer (SRE) Job Title: Site Reliability Engineer (SRE) Career Level: Mid-Level Career Level: Mid-Level Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 4 years. Key Skills: Ansible, Jenkins, Azure, Prometheus. Key Skills: Ansible, Jenkins, Azure, Prometheus. Key Skills: Ansible, Jenkins, Azure, Prometheus. "
Cloud Engineering,DevOps Engineer,Entry,2,"['Docker', 'Prometheus', 'Azure', 'AWS', 'Ansible', 'CI/CD', 'GCP', 'Terraform']",[],"Job Title: DevOps Engineer Job Title: DevOps Engineer Job Title: DevOps Engineer Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 2 years. Key Skills: Docker, Prometheus, Azure, AWS, Ansible, CI/CD, GCP, Terraform. Key Skills: Docker, Prometheus, Azure, AWS, Ansible, CI/CD, GCP, Terraform. Key Skills: Docker, Prometheus, Azure, AWS, Ansible, CI/CD, GCP, Terraform. "
Software Engineering,Software Engineer,Entry,2,"['PostgreSQL', 'JavaScript', 'Microservices', 'AWS']",[],"Job Title: Software Engineer Job Title: Software Engineer Job Title: Software Engineer Career Level: Entry Career Level: Entry Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 2 years. Key Skills: PostgreSQL, JavaScript, Microservices, AWS. Key Skills: PostgreSQL, JavaScript, Microservices, AWS. Key Skills: PostgreSQL, JavaScript, Microservices, AWS. "
Product Management,Product Manager,Manager,11,"['A/B Testing', 'Market Analysis', 'JIRA', 'Roadmapping', 'Agile', 'Scrum', 'Product Strategy']",[],"Job Title: Product Manager Job Title: Product Manager Job Title: Product Manager Career Level: Manager Career Level: Manager Industry: Product Management Industry: Product Management Years of Experience: approximately 11 years. Key Skills: A/B Testing, Market Analysis, JIRA, Roadmapping, Agile, Scrum, Product Strategy. Key Skills: A/B Testing, Market Analysis, JIRA, Roadmapping, Agile, Scrum, Product Strategy. Key Skills: A/B Testing, Market Analysis, JIRA, Roadmapping, Agile, Scrum, Product Strategy. "
Cybersecurity,Security Engineer,Entry,0,"['Network Security', 'Ethical Hacking', 'Intrusion Detection', 'SIEM', 'ISO 27001', 'Cryptography', 'Firewalls', 'Malware Analysis']","['Certified Ethical Hacker (CEH)', 'CompTIA Security+']","Job Title: Security Engineer Job Title: Security Engineer Job Title: Security Engineer Career Level: Entry Career Level: Entry Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 0 years. Key Skills: Network Security, Ethical Hacking, Intrusion Detection, SIEM, ISO 27001, Cryptography, Firewalls, Malware Analysis. Key Skills: Network Security, Ethical Hacking, Intrusion Detection, SIEM, ISO 27001, Cryptography, Firewalls, Malware Analysis. Key Skills: Network Security, Ethical Hacking, Intrusion Detection, SIEM, ISO 27001, Cryptography, Firewalls, Malware Analysis. Relevant Certifications: Certified Ethical Hacker (CEH), CompTIA Security+. "
Cloud Engineering,Cloud Architect,Entry,2,"['AWS', 'CI/CD', 'Azure', 'Kubernetes']",[],"Job Title: Cloud Architect Job Title: Cloud Architect Job Title: Cloud Architect Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 2 years. Key Skills: AWS, CI/CD, Azure, Kubernetes. Key Skills: AWS, CI/CD, Azure, Kubernetes. Key Skills: AWS, CI/CD, Azure, Kubernetes. "
Cybersecurity,Penetration Tester,Entry,2,"['Malware Analysis', 'ISO 27001', 'Firewalls', 'Cryptography', 'Intrusion Detection', 'Ethical Hacking', 'SIEM']",[],"Job Title: Penetration Tester Job Title: Penetration Tester Job Title: Penetration Tester Career Level: Entry Career Level: Entry Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 2 years. Key Skills: Malware Analysis, ISO 27001, Firewalls, Cryptography, Intrusion Detection, Ethical Hacking, SIEM. Key Skills: Malware Analysis, ISO 27001, Firewalls, Cryptography, Intrusion Detection, Ethical Hacking, SIEM. Key Skills: Malware Analysis, ISO 27001, Firewalls, Cryptography, Intrusion Detection, Ethical Hacking, SIEM. "
Data Science,Data Science Manager,Manager,10,"['NumPy', 'Spark', 'Big Data', 'Pandas', 'Data Mining']",[],"Job Title: Data Science Manager Job Title: Data Science Manager Job Title: Data Science Manager Career Level: Manager Career Level: Manager Industry: Data Science Industry: Data Science Years of Experience: approximately 10 years. Key Skills: NumPy, Spark, Big Data, Pandas, Data Mining. Key Skills: NumPy, Spark, Big Data, Pandas, Data Mining. Key Skills: NumPy, Spark, Big Data, Pandas, Data Mining. "
Product Management,Group Product Manager,Manager,13,"['Scrum', 'Roadmapping', 'Product Strategy', 'JIRA', 'A/B Testing', 'User Research']",[],"Job Title: Group Product Manager Job Title: Group Product Manager Job Title: Group Product Manager Career Level: Manager Career Level: Manager Industry: Product Management Industry: Product Management Years of Experience: approximately 13 years. Key Skills: Scrum, Roadmapping, Product Strategy, JIRA, A/B Testing, User Research. Key Skills: Scrum, Roadmapping, Product Strategy, JIRA, A/B Testing, User Research. Key Skills: Scrum, Roadmapping, Product Strategy, JIRA, A/B Testing, User Research. "
Product Management,Senior Product Manager,Senior,7,"['JIRA', 'Market Analysis', 'Agile', 'Roadmapping']",[],"Job Title: Senior Product Manager Job Title: Senior Product Manager Job Title: Senior Product Manager Career Level: Senior Career Level: Senior Industry: Product Management Industry: Product Management Years of Experience: approximately 7 years. Key Skills: JIRA, Market Analysis, Agile, Roadmapping. Key Skills: JIRA, Market Analysis, Agile, Roadmapping. Key Skills: JIRA, Market Analysis, Agile, Roadmapping. "
Data Science,Senior Data Scientist,Senior,9,"['Big Data', 'Pandas', 'Spark', 'Python', 'Data Mining', 'R', 'TensorFlow', 'PyTorch']",[],"Job Title: Senior Data Scientist Job Title: Senior Data Scientist Job Title: Senior Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 9 years. Key Skills: Big Data, Pandas, Spark, Python, Data Mining, R, TensorFlow, PyTorch. Key Skills: Big Data, Pandas, Spark, Python, Data Mining, R, TensorFlow, PyTorch. Key Skills: Big Data, Pandas, Spark, Python, Data Mining, R, TensorFlow, PyTorch. "
Data Science,Lead Data Scientist,Senior,5,"['NumPy', 'Big Data', 'Pandas', 'TensorFlow', 'Spark', 'Python', 'R']",[],"Job Title: Lead Data Scientist Job Title: Lead Data Scientist Job Title: Lead Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 5 years. Key Skills: NumPy, Big Data, Pandas, TensorFlow, Spark, Python, R. Key Skills: NumPy, Big Data, Pandas, TensorFlow, Spark, Python, R. Key Skills: NumPy, Big Data, Pandas, TensorFlow, Spark, Python, R. "
Product Management,Group Product Manager,Manager,18,"['Roadmapping', 'A/B Testing', 'Market Analysis', 'Product Strategy', 'Agile', 'User Research', 'Scrum']",[],"Job Title: Group Product Manager Job Title: Group Product Manager Job Title: Group Product Manager Career Level: Manager Career Level: Manager Industry: Product Management Industry: Product Management Years of Experience: approximately 18 years. Key Skills: Roadmapping, A/B Testing, Market Analysis, Product Strategy, Agile, User Research, Scrum. Key Skills: Roadmapping, A/B Testing, Market Analysis, Product Strategy, Agile, User Research, Scrum. Key Skills: Roadmapping, A/B Testing, Market Analysis, Product Strategy, Agile, User Research, Scrum. "
Data Science,Lead Data Scientist,Senior,6,"['Data Mining', 'R', 'Statistics', 'Pandas', 'TensorFlow', 'PyTorch']",['TensorFlow Developer Certificate'],"Job Title: Lead Data Scientist Job Title: Lead Data Scientist Job Title: Lead Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 6 years. Key Skills: Data Mining, R, Statistics, Pandas, TensorFlow, PyTorch. Key Skills: Data Mining, R, Statistics, Pandas, TensorFlow, PyTorch. Key Skills: Data Mining, R, Statistics, Pandas, TensorFlow, PyTorch. Relevant Certifications: TensorFlow Developer Certificate. "
Cloud Engineering,Site Reliability Engineer (SRE),Entry,0,"['AWS', 'Terraform', 'Azure', 'Grafana', 'Prometheus', 'Docker', 'Ansible', 'Kubernetes']","['Google Certified Professional Cloud Architect', 'Microsoft Certified: Azure Administrator', 'AWS Certified Solutions Architect', 'Certified Kubernetes Administrator (CKA)']","Job Title: Site Reliability Engineer (SRE) Job Title: Site Reliability Engineer (SRE) Job Title: Site Reliability Engineer (SRE) Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 0 years. Key Skills: AWS, Terraform, Azure, Grafana, Prometheus, Docker, Ansible, Kubernetes. Key Skills: AWS, Terraform, Azure, Grafana, Prometheus, Docker, Ansible, Kubernetes. Key Skills: AWS, Terraform, Azure, Grafana, Prometheus, Docker, Ansible, Kubernetes. Relevant Certifications: Google Certified Professional Cloud Architect, Microsoft Certified: Azure Administrator, AWS Certified Solutions Architect, Certified Kubernetes Administrator (CKA). "
Software Engineering,Principal Engineer,Lead/Principal,10,"['Python', 'System Design', 'MongoDB', 'C++', 'Java', 'Kubernetes', 'SQL', 'Go']",[],"Job Title: Principal Engineer Job Title: Principal Engineer Job Title: Principal Engineer Career Level: Lead/Principal Career Level: Lead/Principal Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 10 years. Key Skills: Python, System Design, MongoDB, C++, Java, Kubernetes, SQL, Go. Key Skills: Python, System Design, MongoDB, C++, Java, Kubernetes, SQL, Go. Key Skills: Python, System Design, MongoDB, C++, Java, Kubernetes, SQL, Go. "
Software Engineering,Staff Software Engineer,Lead/Principal,10,"['C++', 'React', 'Docker', 'Microservices', 'PostgreSQL', 'Python', 'Go']",[],"Job Title: Staff Software Engineer Job Title: Staff Software Engineer Job Title: Staff Software Engineer Career Level: Lead/Principal Career Level: Lead/Principal Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 10 years. Key Skills: C++, React, Docker, Microservices, PostgreSQL, Python, Go. Key Skills: C++, React, Docker, Microservices, PostgreSQL, Python, Go. Key Skills: C++, React, Docker, Microservices, PostgreSQL, Python, Go. "
Software Engineering,Senior Software Engineer,Senior,5,"['C++', 'Microservices', 'React', 'Python', 'Kubernetes']",['AWS Certified Developer'],"Job Title: Senior Software Engineer Job Title: Senior Software Engineer Job Title: Senior Software Engineer Career Level: Senior Career Level: Senior Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 5 years. Key Skills: C++, Microservices, React, Python, Kubernetes. Key Skills: C++, Microservices, React, Python, Kubernetes. Key Skills: C++, Microservices, React, Python, Kubernetes. Relevant Certifications: AWS Certified Developer. "
Product Management,Group Product Manager,Manager,15,"['JIRA', 'Roadmapping', 'Scrum', 'Product Strategy']",[],"Job Title: Group Product Manager Job Title: Group Product Manager Job Title: Group Product Manager Career Level: Manager Career Level: Manager Industry: Product Management Industry: Product Management Years of Experience: approximately 15 years. Key Skills: JIRA, Roadmapping, Scrum, Product Strategy. Key Skills: JIRA, Roadmapping, Scrum, Product Strategy. Key Skills: JIRA, Roadmapping, Scrum, Product Strategy. "
Software Engineering,Staff Software Engineer,Lead/Principal,9,"['PostgreSQL', 'Docker', 'System Design', 'React', 'JavaScript', 'Java']",[],"Job Title: Staff Software Engineer Job Title: Staff Software Engineer Job Title: Staff Software Engineer Career Level: Lead/Principal Career Level: Lead/Principal Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 9 years. Key Skills: PostgreSQL, Docker, System Design, React, JavaScript, Java. Key Skills: PostgreSQL, Docker, System Design, React, JavaScript, Java. Key Skills: PostgreSQL, Docker, System Design, React, JavaScript, Java. "
Data Science,Lead Data Scientist,Senior,6,"['Data Mining', 'Big Data', 'Pandas', 'Python']",[],"Job Title: Lead Data Scientist Job Title: Lead Data Scientist Job Title: Lead Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 6 years. Key Skills: Data Mining, Big Data, Pandas, Python. Key Skills: Data Mining, Big Data, Pandas, Python. Key Skills: Data Mining, Big Data, Pandas, Python. "
Software Engineering,Principal Engineer,Lead/Principal,12,"['Docker', 'MongoDB', 'Kubernetes', 'Go']",[],"Job Title: Principal Engineer Job Title: Principal Engineer Job Title: Principal Engineer Career Level: Lead/Principal Career Level: Lead/Principal Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 12 years. Key Skills: Docker, MongoDB, Kubernetes, Go. Key Skills: Docker, MongoDB, Kubernetes, Go. Key Skills: Docker, MongoDB, Kubernetes, Go. "
Product Management,Senior Product Manager,Senior,6,"['Agile', 'Scrum', 'User Research', 'Product Strategy', 'Market Analysis']",[],"Job Title: Senior Product Manager Job Title: Senior Product Manager Job Title: Senior Product Manager Career Level: Senior Career Level: Senior Industry: Product Management Industry: Product Management Years of Experience: approximately 6 years. Key Skills: Agile, Scrum, User Research, Product Strategy, Market Analysis. Key Skills: Agile, Scrum, User Research, Product Strategy, Market Analysis. Key Skills: Agile, Scrum, User Research, Product Strategy, Market Analysis. "
Data Science,Lead Data Scientist,Senior,7,"['Big Data', 'R', 'TensorFlow', 'Python', 'SQL']",[],"Job Title: Lead Data Scientist Job Title: Lead Data Scientist Job Title: Lead Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 7 years. Key Skills: Big Data, R, TensorFlow, Python, SQL. Key Skills: Big Data, R, TensorFlow, Python, SQL. Key Skills: Big Data, R, TensorFlow, Python, SQL. "
Software Engineering,Engineering Manager,Manager,12,"['SQL', 'Microservices', 'Kubernetes', 'JavaScript', 'Python', 'PostgreSQL', 'Java']","['Certified Kubernetes Application Developer (CKAD)', 'AWS Certified Developer']","Job Title: Engineering Manager Job Title: Engineering Manager Job Title: Engineering Manager Career Level: Manager Career Level: Manager Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 12 years. Key Skills: SQL, Microservices, Kubernetes, JavaScript, Python, PostgreSQL, Java. Key Skills: SQL, Microservices, Kubernetes, JavaScript, Python, PostgreSQL, Java. Key Skills: SQL, Microservices, Kubernetes, JavaScript, Python, PostgreSQL, Java. Relevant Certifications: Certified Kubernetes Application Developer (CKAD), AWS Certified Developer. "
