job_id,job_title,field,industry,experience_level,education_required,required_skills,preferred_skills,job_type,location,salary_min,salary_max,remote_option,description,education_standardized,experience_years_proxy,experience_score,education_score,combined_job_text,job_tokens_lemmas
JOB_00015,aws solutions architect,aws,travel,senior,master,github actions;restful apis;next.js;python;devops,github actions;tableau;web accessibility,full-time,singapore,10000,20000,on-site,seeking aws solutions architect with skills: github actions;restful apis;ne,master,8,0.5333,0.85,aws solutions architect aws travel senior master github actions;restful apis;next.js;python;devops github actions;tableau;web accessibility full-time singapore on-site seeking aws solutions architect with skills: github actions;restful apis;ne,aw solution architect aw travel senior master github actions;restful apis;next.js;python;devops github actions;tableau;web accessibility full time singapore site seek aws solution architect skill github actions;restful apis;ne
JOB_00016,typescript developer,typescript,insurtech,senior,master,redux;mongodb;penetration testing;google cloud platform;sre,machine learning;fastapi;big data,hybrid,"seattle, usa",35000,70000,remote,seeking typescript developer with skills: redux;mongodb;penetration test,master,8,0.5333,0.85,"typescript developer typescript insurtech senior master redux;mongodb;penetration testing;google cloud platform;sre machine learning;fastapi;big data hybrid seattle, usa remote seeking typescript developer with skills: redux;mongodb;penetration test",typescript developer typescript insurtech senior master redux;mongodb;penetration testing;google cloud platform;sre machine learning;fastapi;big data hybrid seattle usa remote seek typescript developer skill redux;mongodb;penetration test
JOB_00017,technical lead,technical,media,senior,any,communication;redis;oauth;webpack;project management,infrastructure automation;jest;message queues,full-time,"vancouver, canada",25000,50000,on-site,seeking technical lead with skills: communication;redis;oauth;webp,any,8,0.5333,0.4,"technical lead technical media senior any communication;redis;oauth;webpack;project management infrastructure automation;jest;message queues full-time vancouver, canada on-site seeking technical lead with skills: communication;redis;oauth;webp",technical lead technical medium senior communication;redis;oauth;webpack;project management infrastructure automation;jest;message queue full time vancouver canada site seek technical lead skill communication;redis;oauth;webp
JOB_00018,data architect,data,fintech,senior,bachelor,cost optimization;iso 27001;performance optimization;vue.js;html;css,logging;auto scaling;problem solving,contract,hong kong,10000,20000,hybrid,seeking data architect with skills: cost optimization;iso 27001;pe,bachelor,8,0.5333,0.7,data architect data fintech senior bachelor cost optimization;iso 27001;performance optimization;vue.js;html;css logging;auto scaling;problem solving contract hong kong hybrid seeking data architect with skills: cost optimization;iso 27001;pe,datum architect datum fintech senior bachelor cost optimization;iso 27001;performance optimization;vue.js;html;css logging;auto scaling;problem solve contract hong kong hybrid seek datum architect skill cost optimization;iso 27001;pe
JOB_00019,incident response engineer,incident,healthcare,lead,any,time management;cost optimization;data science;tableau;mentoring,vue.js;html;css;gitlab ci,hybrid,"faisalabad, pakistan",15000,30000,on-site,seeking incident response engineer with skills: time management;cost optimizat,any,12,0.8,0.4,"incident response engineer incident healthcare lead any time management;cost optimization;data science;tableau;mentoring vue.js;html;css;gitlab ci hybrid faisalabad, pakistan on-site seeking incident response engineer with skills: time management;cost optimizat",incident response engineer incident healthcare lead time management;cost optimization;data science;tableau;mentore vue.js;html;css;gitlab ci hybrid faisalabad pakistan site seek incident response engineer skill time management;cost optimizat
JOB_00020,software architect,software,energy,mid-level,bachelor,oauth;devops;keras;sql;jest,nlp;express;adaptability,contract,"karachi, pakistan",5000,10000,on-site,seeking software architect with skills: oauth;devops;keras;sql;jest,bachelor,4,0.2667,0.7,"software architect software energy mid-level bachelor oauth;devops;keras;sql;jest nlp;express;adaptability contract karachi, pakistan on-site seeking software architect with skills: oauth;devops;keras;sql;jest",software architect software energy mid level bachelor oauth;devops;keras;sql;j nlp;express;adaptability contract karachi pakistan site seek software architect skill oauth;devops;keras;sql;j
JOB_00021,test architect,test,retail,senior,any,monitoring tools;negotiation;penetration testing;apache spark;model evaluation,session management;tensorflow;sql,hybrid,"rawalpindi, pakistan",10000,20000,remote,seeking test architect with skills: monitoring tools;negotiation;p,any,8,0.5333,0.4,"test architect test retail senior any monitoring tools;negotiation;penetration testing;apache spark;model evaluation session management;tensorflow;sql hybrid rawalpindi, pakistan remote seeking test architect with skills: monitoring tools;negotiation;p",test architect test retail senior monitoring tools;negotiation;penetration testing;apache spark;model evaluation session management;tensorflow;sql hybrid rawalpindi pakistan remote seek test architect skill monitor tools;negotiation;p
JOB_00022,vp of engineering,vp,fintech,senior,any,database management;cloud security;react;message queues;svelte,configuration management;jwt;kafka,hybrid,"vancouver, canada",25000,50000,on-site,seeking vp of engineering with skills: database management;cloud secu,any,8,0.5333,0.4,"vp of engineering vp fintech senior any database management;cloud security;react;message queues;svelte configuration management;jwt;kafka hybrid vancouver, canada on-site seeking vp of engineering with skills: database management;cloud secu",vp engineering vp fintech senior database management;cloud security;react;message queues;svelte configuration management;jwt;kafka hybrid vancouver canada site seeking vp engineering skill database management;cloud secu
JOB_00023,data scientist,data,saas,senior,any,load balancing;jest;api gateway;react testing library;big data,logging;svelte;data warehouse,full-time,singapore,10000,20000,hybrid,seeking data scientist with skills: load balancing;jest;api gatewa,any,8,0.5333,0.4,data scientist data saas senior any load balancing;jest;api gateway;react testing library;big data logging;svelte;data warehouse full-time singapore hybrid seeking data scientist with skills: load balancing;jest;api gatewa,data scientist data saas senior load balancing;jest;api gateway;react test library;big datum logging;svelte;data warehouse full time singapore hybrid seek datum scientist skill load balancing;jest;api gatewa
JOB_00024,node.js developer,node.js,edtech,lead,any,prometheus;gdpr;container orchestration;power bi;scikit-learn,bootstrap;tensorflow;hyperparameter tuning,full-time,"lahore, pakistan",15000,30000,hybrid,seeking node.js developer with skills: prometheus;gdpr;container orch,any,12,0.8,0.4,"node.js developer node.js edtech lead any prometheus;gdpr;container orchestration;power bi;scikit-learn bootstrap;tensorflow;hyperparameter tuning full-time lahore, pakistan hybrid seeking node.js developer with skills: prometheus;gdpr;container orch",node.js developer node.js edtech lead prometheus;gdpr;container orchestration;pow bi;scikit learn bootstrap;tensorflow;hyperparameter tune full time lahore pakistan hybrid seek node.js developer skill prometheus;gdpr;container orch
JOB_00025,machine learning engineer,machine,manufacturing,junior,bachelor,stream processing;apache flink;express;zustand;material ui,feature engineering;apache flink;cryptography,contract,"toronto, canada",5000,12500,remote,seeking machine learning engineer with skills: stream processing;apache flink,bachelor,1,0.0667,0.7,"machine learning engineer machine manufacturing junior bachelor stream processing;apache flink;express;zustand;material ui feature engineering;apache flink;cryptography contract toronto, canada remote seeking machine learning engineer with skills: stream processing;apache flink",machine learn engineer machine manufacture junior bachelor stream processing;apache flink;express;zustand;material ui feature engineering;apache flink;cryptography contract toronto canada remote seek machine learn engineer skill stream processing;apache flink
JOB_00026,technical lead,technical,e-commerce,mid-level,bachelor,infrastructure as code;hive;logging;feature engineering;node.js,bash;rust;network security,hybrid,"dubai, uae",5000,10000,hybrid,seeking technical lead with skills: infrastructure as code;hive;lo,bachelor,4,0.2667,0.7,"technical lead technical e-commerce mid-level bachelor infrastructure as code;hive;logging;feature engineering;node.js bash;rust;network security hybrid dubai, uae hybrid seeking technical lead with skills: infrastructure as code;hive;lo",technical lead technical e commerce mid level bachelor infrastructure code;hive;logging;feature engineering;node.js bash;rust;network security hybrid dubai uae hybrid seek technical lead skill infrastructure code;hive;lo
JOB_00027,ml ops engineer,ml,retail,junior,master,redis;penetration testing;vite;azure;leadership,load balancing;vue.js;etl,hybrid,"miami, usa",7000,17500,hybrid,seeking ml ops engineer with skills: redis;penetration testing;vite,master,1,0.0667,0.85,"ml ops engineer ml retail junior master redis;penetration testing;vite;azure;leadership load balancing;vue.js;etl hybrid miami, usa hybrid seeking ml ops engineer with skills: redis;penetration testing;vite",ml op engineer ml retail junior master redis;penetration testing;vite;azure;leadership load balancing;vue.js;etl hybrid miami usa hybrid seek ml op engineer skill redis;penetration testing;vite
JOB_00028,systems engineer,systems,gaming,lead,master,tableau;vue.js;node.js;rust;configuration management,security architecture;responsive design;nlp,full-time,"multan, pakistan",15000,30000,remote,seeking systems engineer with skills: tableau;vue.js;node.js;rust;co,master,12,0.8,0.85,"systems engineer systems gaming lead master tableau;vue.js;node.js;rust;configuration management security architecture;responsive design;nlp full-time multan, pakistan remote seeking systems engineer with skills: tableau;vue.js;node.js;rust;co",system engineer system game lead master tableau;vue.js;node.js;rust;configuration management security architecture;responsive design;nlp full time multan pakistan remote seek system engineer skill tableau;vue.js;node.js;rust;co
JOB_00029,test architect,test,automotive,junior,bachelor,apache spark;iso 27001;material ui;devops;bootstrap,security compliance;mongodb;devops,full-time,"miami, usa",7000,17500,hybrid,seeking test architect with skills: apache spark;iso 27001;materia,bachelor,1,0.0667,0.7,"test architect test automotive junior bachelor apache spark;iso 27001;material ui;devops;bootstrap security compliance;mongodb;devops full-time miami, usa hybrid seeking test architect with skills: apache spark;iso 27001;materia",test architect test automotive junior bachelor apache spark;iso 27001;material ui;devops;bootstrap security compliance;mongodb;devop full time miami usa hybrid seek test architect skill apache spark;iso 27001;materia
JOB_00030,product manager,product,real estate,senior,any,nuxt.js;python;terraform;responsive design;probability,bert;bash;elk stack,contract,"peshawar, pakistan",10000,20000,on-site,seeking product manager with skills: nuxt.js;python;terraform;respo,any,8,0.5333,0.4,"product manager product real estate senior any nuxt.js;python;terraform;responsive design;probability bert;bash;elk stack contract peshawar, pakistan on-site seeking product manager with skills: nuxt.js;python;terraform;respo",product manager product real estate senior nuxt.js;python;terraform;responsive design;probability bert;bash;elk stack contract peshawar pakistan site seek product manager skill nuxt.js;python;terraform;respo
JOB_00031,vp of engineering,vp,manufacturing,lead,master,elasticsearch;vue.js;authorization;jenkins;firewalls,fastapi;python scripting;etl,contract,"boston, usa",52500,105000,hybrid,seeking vp of engineering with skills: elasticsearch;vue.js;authoriza,master,12,0.8,0.85,"vp of engineering vp manufacturing lead master elasticsearch;vue.js;authorization;jenkins;firewalls fastapi;python scripting;etl contract boston, usa hybrid seeking vp of engineering with skills: elasticsearch;vue.js;authoriza",vp engineering vp manufacturing lead master elasticsearch;vue.js;authorization;jenkins;firewalls fastapi;python scripting;etl contract boston usa hybrid seek vp engineering skill elasticsearch;vue.js;authoriza
JOB_00032,mobile engineer,mobile,education,senior,any,bert;google cloud platform;restful apis;logging;material ui,postgresql;statistics;tailwind css,full-time,"manchester, uk",25000,50000,hybrid,seeking mobile engineer with skills: bert;google cloud platform;res,any,8,0.5333,0.4,"mobile engineer mobile education senior any bert;google cloud platform;restful apis;logging;material ui postgresql;statistics;tailwind css full-time manchester, uk hybrid seeking mobile engineer with skills: bert;google cloud platform;res",mobile engineer mobile education senior bert;google cloud platform;restful apis;logging;material ui postgresql;statistics;tailwind css full time manchester uk hybrid seek mobile engineer skill bert;google cloud platform;re
JOB_00033,automation engineer,automation,telecommunications,senior,master,docker;mentoring;redux;infrastructure automation;grafana,bert;node.js;webpack,hybrid,"chicago, usa",35000,70000,on-site,seeking automation engineer with skills: docker;mentoring;redux;infrast,master,8,0.5333,0.85,"automation engineer automation telecommunications senior master docker;mentoring;redux;infrastructure automation;grafana bert;node.js;webpack hybrid chicago, usa on-site seeking automation engineer with skills: docker;mentoring;redux;infrast",automation engineer automation telecommunication senior master docker;mentoring;redux;infrastructure automation;grafana bert;node.js;webpack hybrid chicago usa site seek automation engineer skill docker;mentoring;redux;infrast
JOB_00034,cloud security engineer,cloud,e-commerce,mid-level,any,vulnerability assessment;flask;scikit-learn;observability;redis,deep learning;google cloud platform;owasp,contract,"dubai, uae",5000,10000,remote,seeking cloud security engineer with skills: vulnerability assessment;flask,any,4,0.2667,0.4,"cloud security engineer cloud e-commerce mid-level any vulnerability assessment;flask;scikit-learn;observability;redis deep learning;google cloud platform;owasp contract dubai, uae remote seeking cloud security engineer with skills: vulnerability assessment;flask",cloud security engineer cloud e commerce mid level vulnerability assessment;flask;scikit learn;observability;redi deep learning;google cloud platform;owasp contract dubai uae remote seek cloud security engineer skill vulnerability assessment;flask
JOB_00035,penetration tester,penetration,transportation,senior,bachelor,negotiation;firewalls;web accessibility;big data;infrastructure as code,data warehouse;reinforcement learning;sql,contract,hong kong,10000,20000,hybrid,seeking penetration tester with skills: negotiation;firewalls;web acce,bachelor,8,0.5333,0.7,penetration tester penetration transportation senior bachelor negotiation;firewalls;web accessibility;big data;infrastructure as code data warehouse;reinforcement learning;sql contract hong kong hybrid seeking penetration tester with skills: negotiation;firewalls;web acce,penetration tester penetration transportation senior bachelor negotiation;firewalls;web accessibility;big data;infrastructure code datum warehouse;reinforcement learning;sql contract hong kong hybrid seek penetration tester skill negotiation;firewalls;web acce
JOB_00036,full stack developer,full,education,mid-level,master,hive;time management;logging;cost optimization;kubernetes,sql;tensorflow;computer vision,hybrid,"vancouver, canada",12500,25000,hybrid,seeking full stack developer with skills: hive;time management;logging;c,master,4,0.2667,0.85,"full stack developer full education mid-level master hive;time management;logging;cost optimization;kubernetes sql;tensorflow;computer vision hybrid vancouver, canada hybrid seeking full stack developer with skills: hive;time management;logging;c",full stack developer full education mid level master hive;time management;logging;cost optimization;kubernete sql;tensorflow;computer vision hybrid vancouver canada hybrid seek full stack developer skill hive;time management;logging;c
JOB_00037,security engineer,security,retail,senior,master,html;css;machine learning;stream processing;statistics;llm,gdpr;html;css;model evaluation,contract,"multan, pakistan",10000,20000,hybrid,seeking security engineer with skills: html/css;machine learning;stre,master,8,0.5333,0.85,"security engineer security retail senior master html;css;machine learning;stream processing;statistics;llm gdpr;html;css;model evaluation contract multan, pakistan hybrid seeking security engineer with skills: html/css;machine learning;stre",security engineer security retail senior master html;css;machine learning;stream processing;statistics;llm gdpr;html;css;model evaluation contract multan pakistan hybrid seek security engineer skill html css;machine learning;stre
JOB_00038,senior machine learning engineer,senior,technology,senior,master,python;data visualization;firewalls;hadoop;tableau,penetration testing;security compliance;angular,full-time,"quetta, pakistan",10000,20000,hybrid,seeking senior machine learning engineer with skills: python;data visualization;fire,master,8,0.5333,0.85,"senior machine learning engineer senior technology senior master python;data visualization;firewalls;hadoop;tableau penetration testing;security compliance;angular full-time quetta, pakistan hybrid seeking senior machine learning engineer with skills: python;data visualization;fire",senior machine learn engineer senior technology senior master python;data visualization;firewalls;hadoop;tableau penetration testing;security compliance;angular full time quetta pakistan hybrid seek senior machine learn engineer skill python;data visualization;fire
JOB_00039,full stack developer,full,energy,senior,any,time management;flask;javascript;data pipeline;load balancing,linux;agile;scrum;oauth,hybrid,"london, uk",25000,50000,on-site,seeking full stack developer with skills: time management;flask;javascri,any,8,0.5333,0.4,"full stack developer full energy senior any time management;flask;javascript;data pipeline;load balancing linux;agile;scrum;oauth hybrid london, uk on-site seeking full stack developer with skills: time management;flask;javascri",full stack developer full energy senior time management;flask;javascript;data pipeline;load balancing linux;agile;scrum;oauth hybrid london uk site seek full stack developer skill time management;flask;javascri
JOB_00040,games engineer,games,healthcare,lead,master,network security;nlp;session management;webpack;neural networks,security architecture;statistics;responsive design,full-time,"mumbai, india",15000,30000,remote,seeking games engineer with skills: network security;nlp;session m,master,12,0.8,0.85,"games engineer games healthcare lead master network security;nlp;session management;webpack;neural networks security architecture;statistics;responsive design full-time mumbai, india remote seeking games engineer with skills: network security;nlp;session m",games engineer game healthcare lead master network security;nlp;session management;webpack;neural network security architecture;statistics;responsive design full time mumbai india remote seeking game engineer skill network security;nlp;session
JOB_00041,ai research scientist,ai,logistics,senior,bachelor,data science;service mesh;neural networks;microservices;cryptography,container orchestration;team collaboration;postgresql,contract,"miami, usa",35000,70000,hybrid,seeking ai research scientist with skills: data science;service mesh;neur,bachelor,8,0.5333,0.7,"ai research scientist ai logistics senior bachelor data science;service mesh;neural networks;microservices;cryptography container orchestration;team collaboration;postgresql contract miami, usa hybrid seeking ai research scientist with skills: data science;service mesh;neur",ai research scientist ai logistics senior bachelor datum science;service mesh;neural networks;microservices;cryptography container orchestration;team collaboration;postgresql contract miami usa hybrid seeking ai research scientist skill datum science;service mesh;neur
JOB_00042,computer vision engineer,computer,finance,senior,master,performance optimization;mysql;model evaluation;sre;vite,auto scaling;mysql;elk stack,contract,"toronto, canada",25000,50000,hybrid,seeking computer vision engineer with skills: performance optimization;mysql,master,8,0.5333,0.85,"computer vision engineer computer finance senior master performance optimization;mysql;model evaluation;sre;vite auto scaling;mysql;elk stack contract toronto, canada hybrid seeking computer vision engineer with skills: performance optimization;mysql",computer vision engineer computer finance senior master performance optimization;mysql;model evaluation;sre;vite auto scaling;mysql;elk stack contract toronto canada hybrid seek computer vision engineer skill performance optimization;mysql
JOB_00043,backend engineer,backend,energy,junior,any,redis;computer vision;python;hyperparameter tuning;typescript,team collaboration;kafka;feature engineering,hybrid,"berlin, germany",5000,12500,remote,seeking backend engineer with skills: redis;computer vision;python;h,any,1,0.0667,0.4,"backend engineer backend energy junior any redis;computer vision;python;hyperparameter tuning;typescript team collaboration;kafka;feature engineering hybrid berlin, germany remote seeking backend engineer with skills: redis;computer vision;python;h",backend engineer backend energy junior redis;computer vision;python;hyperparameter tuning;typescript team collaboration;kafka;feature engineering hybrid berlin germany remote seek backend engineer skill redis;computer vision;python;h
JOB_00044,qa engineer,qa,education,junior,bachelor,jenkins;hadoop;sre;aws;service mesh,hadoop;gpt;logging,full-time,"chicago, usa",7000,17500,hybrid,seeking qa engineer with skills: jenkins;hadoop;sre;aws;service,bachelor,1,0.0667,0.7,"qa engineer qa education junior bachelor jenkins;hadoop;sre;aws;service mesh hadoop;gpt;logging full-time chicago, usa hybrid seeking qa engineer with skills: jenkins;hadoop;sre;aws;service",qa engineer qa education junior bachelor jenkins;hadoop;sre;aws;service mesh hadoop;gpt;logge full time chicago usa hybrid seek qa engineer skill jenkins;hadoop;sre;aws;service
JOB_00045,mobile engineer,mobile,transportation,junior,any,statistics;deep learning;ssl;tls;java;jest,tableau;svelte;power bi,contract,"chicago, usa",7000,17500,hybrid,seeking mobile engineer with skills: statistics;deep learning;ssl/t,any,1,0.0667,0.4,"mobile engineer mobile transportation junior any statistics;deep learning;ssl;tls;java;jest tableau;svelte;power bi contract chicago, usa hybrid seeking mobile engineer with skills: statistics;deep learning;ssl/t",mobile engineer mobile transportation junior statistics;deep learning;ssl;tls;java;j tableau;svelte;power bi contract chicago usa hybrid seek mobile engineer skill statistics;deep learning;ssl
JOB_00046,full stack developer,full,travel,mid-level,any,cryptography;penetration testing;feature engineering;elasticsearch;service mesh,transformers;threat modeling;load balancing,contract,"berlin, germany",12500,25000,on-site,seeking full stack developer with skills: cryptography;penetration testi,any,4,0.2667,0.4,"full stack developer full travel mid-level any cryptography;penetration testing;feature engineering;elasticsearch;service mesh transformers;threat modeling;load balancing contract berlin, germany on-site seeking full stack developer with skills: cryptography;penetration testi",full stack developer full travel mid level cryptography;penetration testing;feature engineering;elasticsearch;service mesh transformers;threat modeling;load balancing contract berlin germany site seek full stack developer skill cryptography;penetration testi
JOB_00047,engineering manager,engineering,retail,lead,any,critical thinking;performance optimization;looker;keras;nuxt.js,web accessibility;material ui;probability,full-time,"karachi, pakistan",15000,30000,remote,seeking engineering manager with skills: critical thinking;performance,any,12,0.8,0.4,"engineering manager engineering retail lead any critical thinking;performance optimization;looker;keras;nuxt.js web accessibility;material ui;probability full-time karachi, pakistan remote seeking engineering manager with skills: critical thinking;performance",engineering manager engineering retail lead critical thinking;performance optimization;looker;keras;nuxt.js web accessibility;material ui;probability full time karachi pakistan remote seek engineering manager skill critical thinking;performance
